"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount","ClubFromID","ClubToID"
"23/07","Danemark","Claus Jensen","in","Charlton","England","Fulham","England",1.9,"6","10"
"23/07","Canada","T.  Radzinski","in","Everton","England","Fulham","England",3,"9","10"
"27/07","Sénégal","Papa Bouba Diop","in","Lens","France","Fulham","England",9,"67","10"
"01/07","France","Djibril Cissé","in","Auxerre","France","Liverpool","England",20,"62","11"
"24/07","Espagne","Josemi","in","Málaga","Spain","Liverpool","England",3,"33","11"
"17/08","Espagne","Antonio Núñez","in","Real Madrid","Spain","Liverpool","England",0,"37","11"
"20/08","Espagne","Luis García","in","FC Barcelona","Spain","Liverpool","England",9,"27","11"
"05/01","Argentine","M.  Pellegrino","in","Valencia CF","Spain","Liverpool","England",0,"29","11"
"13/01","Espagne","F.  Morientes","in","Real Madrid","Spain","Liverpool","England",9.5,"37","11"
"21/06","Belgique","G.  De Vlieger","in","Netherlands","Other","Manchester City","England",0,"100","12"
"01/07","Angleterre","Nedum Onuoha","in","United States","Other","Manchester City","England",0,"111","12"
"01/07","Angleterre","Wright-Phillips","in","United States","Other","Manchester City","England",0,"111","12"
"25/08","Pays-Bas","R.  Waterreus","in","Netherlands","Other","Manchester City","England",0,"100","12"
"11/06","Argentine","Gabriel Heinze","in","Paris S-G","France","Man United","England",10,"75","13"
"01/07","Irlande","Liam Miller","in","Scotland","Other","Man United","England",0,"101","13"
"31/08","Angleterre","Wayne Rooney","in","Everton","England","Man United","England",37,"9","13"
"06/07","Pays-Bas","M.  Reiziger","in","FC Barcelona","Spain","Middlesbrough","England",0,"27","14"
"09/07","Pays-Bas","Hasselbaink","in","Chelsea","England","Middlesbrough","England",0,"7","14"
"23/07","Angleterre","Ray Parlour","in","Arsenal","England","Middlesbrough","England",0,"1","14"
"01/07","Pays-Bas","P.  Kluivert","in","FC Barcelona","Spain","Newcastle United","England",0,"27","15"
"27/07","Angleterre","Nicky Butt","in","Man United","England","Newcastle United","England",3.8,"13","15"
"10/08","Irlande","Stephen Carr","in","Tottenham","England","Newcastle United","England",3,"19","15"
"19/09","Norvège","Ronny Johnsen","in","Aston Villa","England","Newcastle United","England",0,"2","15"
"01/01","Nigeria","C.  Babayaro","in","Chelsea","England","Newcastle United","England",0,"7","15"
"01/01","France","J.-A. Boumsong","in","Scotland","Other","Newcastle United","England",12,"101","15"
"25/01","Sénégal","Amdy Faye","in","Portsmouth","England","Newcastle United","England",3,"17","15"
"02/06","Ecosse","Paul Gallacher","in","Scotland","Other","Norwich City","England",0,"101","16"
"22/07","Danemark","Thomas Helveg","in","Inter Milan","Italy","Norwich City","England",0,"49","16"
"05/08","Suède","Mattias Jonson","in","Denmark","Other","Norwich City","England",0,"112","16"
"20/08","Irlande","Gary Doherty","in","Tottenham","England","Norwich City","England",0,"19","16"
"31/01","Angleterre","Graham Stuart","in","Charlton","England","Norwich City","England",0,"6","16"
"26/05","Angleterre","Andy Griffin","in","Newcastle United","England","Portsmouth","England",0,"15","17"
"01/07","Angleterre","Jason Pearce","in","Charlton","England","Portsmouth","England",0,"6","17"
"12/07","Angleterre","David Unsworth","in","Everton","England","Portsmouth","England",0,"9","17"
"28/01","Grèce","K.  Chalkias","in","Greece","Other","Portsmouth","England",0,"108","17"
"28/01","Grèce","I.  Skopelitis","in","Greece","Other","Portsmouth","England",1.5,"108","17"
"08/06","Belgique","Jelle van Damme","in","Netherlands","Other","Southampton","England",3,"100","18"
"09/07","Angleterre","Peter Crouch","in","Aston Villa","England","Southampton","England",3,"2","18"
"31/08","Suède","A.  Jakobsson","in","Denmark","Other","Southampton","England",1.5,"112","18"
"04/01","Angleterre","Jamie Redknapp","in","Tottenham","England","Southampton","England",0,"19","18"
"17/01","Ecosse","Nigel Quashie","in","Portsmouth","England","Southampton","England",3,"17","18"
"31/01","France","Olivier Bernard","in","Newcastle United","England","Southampton","England",0,"15","18"
"09/07","Angleterre","Sean Davis","in","Fulham","England","Tottenham","England",0,"10","19"
"09/07","Portugal","Pedro Mendes","in","Portugal","Other","Tottenham","England",3.5,"106","19"
