"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount","ClubFromID","ClubToID"
"05/08","Algérie","Rachid Ghezzal","in","Monaco","France","Leicester","England",14,"70","11"
"09/08","Croatie","Filip Benkovic","in","Croatia","Other","Leicester","England",15,"107","11"
"09/08","Turquie","Caglar Soyuncu","in","Freiburg","Germany","Leicester","England",21,"88","11"
"01/07","Brésil","Fabinho","in","Monaco","France","Liverpool","England",50,"70","12"
"01/07","Guinée","Naby Keïta","in","RB Leipzig","Germany","Liverpool","England",55,"94","12"
"19/07","Brésil","Alisson Becker","in","AS Roma","Italy","Liverpool","England",75,"42","12"
"10/07","Algérie","Riyad Mahrez","in","Leicester","England","Manchester City","England",70,"11","13"
"31/01","Croatie","Ante Palaversa","in","Croatia","Other","Manchester City","England",8.5,"107","13"
"06/06","Portugal","Diogo Dalot","in","Portugal","Other","Man United","England",22,"101","14"
"02/08","Japon","Yoshinori Muto","in","Mainz","Germany","Newcastle United","England",10.7,"92","15"
"09/08","Argentine","F.  Fernández","in","Wales","Other","Newcastle United","England",6.7,"112","15"
"29/06","Norvège","M.  Elyounoussi","in","Switzerland","Other","Southampton","England",18,"106","16"
"10/07","Angleterre","Angus Gunn","in","Manchester City","England","Southampton","England",11.3,"13","16"
"13/07","Danemark","J.  Vestergaard","in","M'gladbach","Germany","Southampton","England",20,"85","16"
"09/08","Angleterre","Danny Ings","in","Liverpool","England","Southampton","England",22.2,"12","16"
"01/07","Suède","Pontus Dahlberg","in","Sweden","Other","Watford","England",3.9,"111","18"
"01/07","Espagne","Marc Navarro","in","Espanyol","Spain","Watford","England",2,"27","18"
"02/07","Italie","Adam Masina","in","Bologna","Italy","Watford","England",5,"44","18"
"04/07","Suède","Ken Sema","in","Sweden","Other","Watford","England",2.3,"111","18"
"19/06","France","Issa Diop","in","Toulouse FC","France","West Ham","England",25,"80","19"
"20/06","Pologne","L.  Fabianski","in","Wales","Other","West Ham","England",8,"112","19"
"11/07","Ukraine","A.  Yarmolenko","in","Dortmund","Germany","West Ham","England",20,"84","19"
"14/07","Paraguay","F.  Balbuena","in","Brazil","Other","West Ham","England",4,"103","19"
"16/07","Brésil","Felipe Anderson","in","Lazio","Italy","West Ham","England",40,"53","19"
"09/08","Espagne","Lucas Pérez","in","Arsenal","England","West Ham","England",4.5,"1","19"
"09/08","Colombie","Carlos Sánchez","in","Fiorentina","Italy","West Ham","England",4.5,"48","19"
"01/07","France","Willy Boly","in","Portugal","Other","Wolverhampton","England",13,"101","20"
"24/07","Portugal","João Moutinho","in","Monaco","France","Wolverhampton","England",5.6,"70","20"
"25/07","Espagne","Joni","in","Atlético Madrid","Spain","Wolverhampton","England",20.6,"23","20"
"09/08","Belgique","L.  Dendoncker","in","Belgium","Other","Wolverhampton","England",13.5,"100","20"
"05/07","Espagne","Rubén Sobrino","in","Manchester City","England","Alavés","Spain",2,"13","21"
"12/08","Espagne","Tomás Pina","in","Belgium","Other","Alavés","Spain",1.5,"100","21"
"01/07","Espagne","Ander Capa","in","Eibar","Spain","Athletic Bilbao","Spain",3,"26","22"
"02/07","Espagne","Yuri Berchiche","in","Paris S-G","France","Athletic Bilbao","Spain",24,"75","22"
"10/01","Espagne","Ibai","in","Alavés","Spain","Athletic Bilbao","Spain",4,"21","22"
"31/01","Bosnie-Herzégovine","Kenan Kodro","in","Denmark","Other","Athletic Bilbao","Spain",0.9,"108","22"
"19/06","France","Thomas Lemar","in","Monaco","France","Atlético Madrid","Spain",65,"70","23"
"01/07","Espagne","Rodri","in","Villarreal","Spain","Atlético Madrid","Spain",25,"40","23"
"05/07","Espagne","Antonio Adán","in","Real Betis","Spain","Atlético Madrid","Spain",1,"24","23"
"31/07","Colombie","Santiago Arias","in","Netherlands","Other","Atlético Madrid","Spain",11,"104","23"
"09/08","Croatie","Nikola Kalinic","in","AC Milan","Italy","Atlético Madrid","Spain",15,"41","23"
"13/07","Portugal","William Carvalho","in","Portugal","Other","Real Betis","Spain",20,"101","24"
"31/08","Argentine","G.  Lo Celso","in","Paris S-G","France","Real Betis","Spain",25,"75","24"
"15/06","Turquie","Yokuslu Okay","in","Turkey","Other","Celta Vigo","Spain",6,"102","25"
"08/08","Danemark","Mathias Jensen","in","Denmark","Other","Celta Vigo","Spain",5,"108","25"
"30/08","Argentine","Pablo de Blasis","in","Mainz","Germany","Eibar","Spain",2,"92","26"
"09/07","Espagne","Borja Iglesias","in","Celta Vigo","Spain","Espanyol","Spain",10,"25","27"
"09/07","Brésil","Arthur","in","Brazil","Other","FC Barcelona","Spain",31,"103","28"
"12/07","France","C.  Lenglet","in","Sevilla FC","Spain","FC Barcelona","Spain",35.9,"29","28"
"24/07","Brésil","Malcom","in","Bordeaux","France","FC Barcelona","Spain",41,"63","28"
"03/08","Chili","Arturo Vidal","in","Bayern Munich","Germany","FC Barcelona","Spain",18,"83","28"
"31/01","Brésil","Emerson Leite","in","Brazil","Other","FC Barcelona","Spain",12,"103","28"
"01/07","Cameroun","Ibrahim Amadou","in","Lille","France","Sevilla FC","Spain",15,"67","29"
"01/07","Espagne","Roque Mesa","in","Wales","Other","Sevilla FC","Spain",7.2,"112","29"
"04/07","République tchèque","Tomas Vaclik","in","Switzerland","Other","Sevilla FC","Spain",7,"106","29"
"25/07","Espagne","Sergi Gomez","in","Celta Vigo","Spain","Sevilla FC","Spain",5,"25","29"
"26/07","France","Joris Gnagnon","in","Rennes","France","Sevilla FC","Spain",15,"77","29"
"04/08","Espagne","Aleix Vidal","in","FC Barcelona","Spain","Sevilla FC","Spain",8.5,"28","29"
"31/08","Pays-Bas","Quincy Promes","in","Russia","Other","Sevilla FC","Spain",21,"109","29"
"11/01","Espagne","M.  El Haddadi","in","FC Barcelona","Spain","Sevilla FC","Spain",3,"28","29"
"11/01","Autriche","M.  Wöber","in","Netherlands","Other","Sevilla FC","Spain",10.5,"104","29"
"28/06","France","M.  Diakhaby","in","Lyon","France","Valencia CF","Spain",15,"68","30"
"09/07","Danemark","Daniel Wass","in","Celta Vigo","Spain","Valencia CF","Spain",6,"25","30"
"23/07","Italie","C.  Piccini","in","Portugal","Other","Valencia CF","Spain",8,"101","30"
"12/08","France","Kevin Gameiro","in","Atlético Madrid","Spain","Valencia CF","Spain",16,"23","30"
"28/08","Portugal","Gonçalo Guedes","in","Paris S-G","France","Valencia CF","Spain",40,"75","30"
"31/01","Espagne","Rubén Sobrino","in","Alavés","Spain","Valencia CF","Spain",5,"21","30"
"12/07","Serbie","N.  Maksimovic","in","Valencia CF","Spain","Getafe","Spain",5.5,"30","32"
"13/07","Espagne","David Soria","in","Sevilla FC","Spain","Getafe","Spain",3,"29","32"
"26/07","Espagne","Iván Alejo","in","Eibar","Spain","Getafe","Spain",4,"26","32"
"07/08","Turquie","Serdar Gurler","in","Turkey","Other","Huesca","Spain",2.5,"102","33"
"01/07","Espagne","Rubén Rochina","in","Russia","Other","Levante","Spain",1,"109","35"
"06/08","Nigeria","Moses Simon","in","Belgium","Other","Levante","Spain",5,"100","35"
"07/08","Ghana","Raphael Dwamena","in","Switzerland","Other","Levante","Spain",6.2,"106","35"
"09/08","Monténégro","Nikola Vukcevic","in","Portugal","Other","Levante","Spain",8.9,"101","35"
"30/01","Portugal","Ruben Vezo","in","Valencia CF","Spain","Levante","Spain",5,"30","35"
"01/07","Espagne","Alberto","in","Getafe","Spain","Rayo Vallecano","Spain",0.5,"32","36"
"13/07","RD Congo","Gaël Kakuta","in","China","Other","Rayo Vallecano","Spain",2.5,"99","36"
"23/07","Uruguay","E.  Velázquez","in","Atlético Madrid","Spain","Rayo Vallecano","Spain",1,"23","36"
"09/08","Espagne","Jordi Amat","in","Wales","Other","Rayo Vallecano","Spain",1,"112","36"
"08/08","Belgique","T.  Courtois","in","Chelsea","England","Real Madrid","Spain",35,"6","37"
"29/08","République Dominicaine","Mariano","in","Lyon","France","Real Madrid","Spain",21.5,"68","37"
"06/01","Espagne","Brahim Diaz","in","Manchester City","England","Real Madrid","Spain",15,"13","37"
"12/07","Espagne","Mikel Merino","in","Newcastle United","England","Real Sociedad","Spain",12,"15","38"
"03/08","Espagne","Rubén Alcaraz","in","Girona","Spain","Valladolid","Spain",1,"31","39"
"23/01","Espagne","Pablo Hervías","in","Eibar","Spain","Valladolid","Spain",1,"26","39"
"25/01","Espagne","Sergi Guardiola","in","Getafe","Spain","Valladolid","Spain",5,"32","39"
"07/06","Cameroun","K.  Toko Ekambi","in","Angers","France","Villarreal","Spain",18,"62","40"
"12/06","Espagne","Gerard Moreno","in","Espanyol","Spain","Villarreal","Spain",20,"27","40"
"21/06","Argentine","R.  Funes Mori","in","Everton","England","Villarreal","Spain",9,"8","40"
"10/07","Mexique","Miguel Layún","in","Portugal","Other","Villarreal","Spain",4,"101","40"
"14/07","Argentine","S.  Cáseres","in","Argentina","Other","Villarreal","Spain",10,"105","40"
"16/08","Colombie","Carlos Bacca","in","AC Milan","Italy","Villarreal","Spain",7,"41","40"
"07/01","Espagne","Vicente Iborra","in","Leicester","England","Villarreal","Spain",10,"11","40"
"15/08","Uruguay","Diego Laxalt","in","Genoa","Italy","AC Milan","Italy",14,"50","41"
"17/08","Espagne","S.  Castillejo","in","Villarreal","Spain","AC Milan","Italy",25,"40","41"
"03/01","Brésil","Lucas Paqueta","in","Brazil","Other","AC Milan","Italy",35,"103","41"
"23/01","Pologne","K.  Piatek","in","Genoa","Italy","AC Milan","Italy",35,"50","41"
"28/05","Croatie","Ante Coric","in","Croatia","Other","AS Roma","Italy",6,"107","42"
"14/06","Pays-Bas","Justin Kluivert","in","Netherlands","Other","AS Roma","Italy",20,"104","42"
"25/06","Argentine","Javier Pastore","in","Paris S-G","France","AS Roma","Italy",20,"75","42"
"01/07","Italie","Bryan Cristante","in","Atalanta","Italy","AS Roma","Italy",21,"43","42"
"01/07","République tchèque","Patrik Schick","in","Sampdoria","Italy","AS Roma","Italy",14,"56","42"
"07/07","Brésil","Daniel Fuzato","in","Brazil","Other","AS Roma","Italy",0.5,"103","42"
"24/07","Suède","Robin Olsen","in","Denmark","Other","AS Roma","Italy",8.5,"108","42"
"14/08","France","Steven N'Zonzi","in","Sevilla FC","Spain","AS Roma","Italy",30,"29","42"
"29/01","Brésil","Roger","in","Brazil","Other","Atalanta","Italy",4,"103","43"
"21/06","Paraguay","F.  Santander","in","Denmark","Other","Bologna","Italy",6,"108","44"
"22/06","Pologne","L.  Skorupski","in","AS Roma","Italy","Bologna","Italy",9,"42","44"
"04/07","Italie","D.  Falcinelli","in","Sassuolo","Italy","Bologna","Italy",10,"57","44"
"05/07","Suède","M.  Svanberg","in","Sweden","Other","Bologna","Italy",5,"111","44"
"04/01","Italie","Nicola Sansone","in","Villarreal","Spain","Bologna","Italy",8,"40","44"
"04/01","Italie","Roberto Soriano","in","Torino","Italy","Bologna","Italy",8,"59","44"
"27/07","Croatie","Filip Bradaric","in","Croatia","Other","Cagliari","Italy",4.5,"107","45"
"17/08","Estonie","Ragnar Klavan","in","Liverpool","England","Cagliari","Italy",1.3,"12","45"
"31/01","Italie","F.  Cacciatore","in","Chievo Verona","Italy","Cagliari","Italy",0.8,"46","45"
"17/08","Ghana","Afriyie Acquah","in","Torino","Italy","Empoli","Italy",1,"59","47"
"17/08","Turquie","Ucan Salih","in","Turkey","Other","Empoli","Italy",1,"102","47"
"01/07","France","Vincent Laurini","in","Empoli","Italy","Fiorentina","Italy",2,"47","48"
"02/07","France","Alban Lafont","in","Toulouse FC","France","Fiorentina","Italy",7,"80","48"
"19/07","Danemark","C.  Norgaard","in","Denmark","Other","Fiorentina","Italy",3.5,"108","48"
"15/01","Côte d'Ivoire","H. J.  Traoré","in","Empoli","Italy","Fiorentina","Italy",15,"47","48"
"17/08","Italie","Marco Capuano","in","Cagliari","Italy","Frosinone","Italy",1,"45","49"
"09/07","Italie","Luca Mazzitelli","in","Sassuolo","Italy","Genoa","Italy",8,"57","50"
"08/08","Italie","Andrea Favilli","in","Juventus","Italy","Genoa","Italy",7,"52","50"
"17/08","Italie","G.  Lapadula","in","AC Milan","Italy","Genoa","Italy",11,"41","50"
"07/01","Brésil","Jandrei","in","Brazil","Other","Genoa","Italy",2.4,"103","50"
"24/01","Italie","Stefano Sturaro","in","Portugal","Other","Genoa","Italy",16.5,"101","50"
"29/01","Danemark","Lukas Lerager","in","Bordeaux","France","Genoa","Italy",6,"63","50"
"31/01","Serbie","I.  Radovanovic","in","Chievo Verona","Italy","Genoa","Italy",4,"46","50"
"26/06","Belgique","R.  Nainggolan","in","AS Roma","Italy","Inter Milan","Italy",38,"42","51"
"01/07","Italie","Matteo Politano","in","Sassuolo","Italy","Inter Milan","Italy",20,"57","51"
"04/07","Argentine","L.  Martínez","in","Argentina","Other","Inter Milan","Italy",23,"105","51"
"08/06","Italie","Mattia Perin","in","Genoa","Italy","Juventus","Italy",12,"50","52"
"27/06","Portugal","Joao Cancelo","in","Inter Milan","Italy","Juventus","Italy",40.4,"51","52"
"01/07","Brésil","Douglas Costa","in","Bayern Munich","Germany","Juventus","Italy",46,"83","52"
"10/07","Portugal","C.  Ronaldo","in","Real Madrid","Spain","Juventus","Italy",117,"37","52"
"29/01","Uruguay","M.  Cáceres","in","Lazio","Italy","Juventus","Italy",0.6,"53","52"
"22/06","Danemark","Riza Durmisi","in","Real Betis","Spain","Lazio","Italy",6.5,"24","53"
"03/07","Kosovo","Valon Berisha","in","Austria","Other","Lazio","Italy",7.5,"110","53"
"11/07","Italie","F.  Acerbi","in","Sassuolo","Italy","Lazio","Italy",10,"57","53"
"31/07","Argentine","Joaquin Correa","in","Sevilla FC","Spain","Lazio","Italy",15,"29","53"
"01/07","Italie","Simone Verdi","in","Bologna","Italy","Napoli","Italy",25,"44","54"
"01/07","Brésil","Vinícius","in","Portugal","Other","Napoli","Italy",4,"101","54"
"05/07","Grèce","O.  Karnezis","in","Udinese","Italy","Napoli","Italy",2.5,"60","54"
"05/07","Italie","Alex Meret","in","SPAL","Italy","Napoli","Italy",27,"58","54"
"05/07","Espagne","Fabián Ruiz","in","Real Betis","Spain","Napoli","Italy",30,"24","54"
"08/08","France","Kévin Malcuit","in","Lille","France","Napoli","Italy",12,"67","54"
"17/08","Colombie","David Ospina","in","Arsenal","England","Napoli","Italy",3.5,"1","54"
"07/08","France","J.  Biabiany","in","Inter Milan","Italy","Parma","Italy",1.5,"51","55"
"14/06","Italie","Alex Ferrari","in","Bologna","Italy","Sampdoria","Italy",4.5,"44","56"
"19/06","Gambie","Omar Colley","in","Belgium","Other","Sampdoria","Italy",7.8,"100","56"
"06/07","République tchèque","Jakub Jankto","in","Udinese","Italy","Sampdoria","Italy",15,"60","56"
"17/07","Italie","Emil Audero","in","Juventus","Italy","Sampdoria","Italy",20,"52","56"
"24/07","France","G.  Defrel","in","AS Roma","Italy","Sampdoria","Italy",20,"42","56"
"11/01","Italie","M.  Gabbiadini","in","Southampton","England","Sampdoria","Italy",14,"16","56"
"04/07","Italie","Di Francesco","in","Bologna","Italy","Sassuolo","Italy",10,"44","57"
"17/07","Maroc","Mehdi Bourabia","in","Turkey","Other","Sassuolo","Italy",2.3,"102","57"
"13/08","Italie","M.  Locatelli","in","AC Milan","Italy","Sassuolo","Italy",10,"41","57"
"16/08","Brésil","Marlon","in","FC Barcelona","Spain","Sassuolo","Italy",6,"28","57"
"30/01","Turquie","Merih Demiral","in","Turkey","Other","Sassuolo","Italy",7,"102","57"
"01/07","Sénégal","Alfred Gomis","in","Torino","Italy","SPAL","Italy",1.5,"59","58"
"01/07","Slovénie","Jasmin Kurtic","in","Atalanta","Italy","SPAL","Italy",4.8,"43","58"
"19/07","Italie","Andrea Petagna","in","Atalanta","Italy","SPAL","Italy",12,"43","58"
"13/08","Italie","S.  Missiroli","in","Sassuolo","Italy","SPAL","Italy",2.5,"57","58"
"16/08","Italie","M.  Valdifiori","in","Torino","Italy","SPAL","Italy",1,"59","58"
"04/07","Italie","Armando Izzo","in","Genoa","Italy","Torino","Italy",8,"50","59"
"10/07","Brésil","Bremer","in","Brazil","Other","Torino","Italy",5.8,"103","59"
"10/07","France","S.  Meïté","in","Monaco","France","Torino","Italy",10,"70","59"
"17/08","Côte d'Ivoire","Koffi Djidji","in","Nantes","France","Torino","Italy",4.5,"72","59"
"17/08","Italie","Simone Zaza","in","Valencia CF","Spain","Torino","Italy",12,"30","59"
"17/07","Argentine","I.  Pussetto","in","Argentina","Other","Udinese","Italy",8,"105","60"
"26/07","Italie","R.  Mandragora","in","Juventus","Italy","Udinese","Italy",20,"52","60"
"17/08","Nigeria","Troost-Ekong","in","Turkey","Other","Udinese","Italy",3.3,"102","60"
"04/07","Colombie","Juan Otero","in","Argentina","Other","Amiens","France",2.1,"105","61"
"23/08","Iran","Saman Ghoddos","in","Sweden","Other","Amiens","France",4,"111","61"
"13/07","RD Congo","H.  Manzala","in","Amiens","France","Angers","France",1,"61","62"
"06/08","Nigeria","Samuel Kalu","in","Belgium","Other","Bordeaux","France",8.5,"100","63"
"08/08","Croatie","Toma Basic","in","Croatia","Other","Bordeaux","France",3.5,"107","63"
"04/07","Tchad","Casimir Ninga","in","Montpellier","France","Caen","France",2,"71","64"
"24/07","Maroc","Yacine Bammou","in","Nantes","France","Caen","France",2,"72","64"
"03/08","Maroc","Fayçal Fajr","in","Getafe","Spain","Caen","France",2,"32","64"
"28/08","France","G.  Fofana","in","Amiens","France","Guingamp","France",1,"61","66"
"02/07","France","Jonathan Ikoné","in","Paris S-G","France","Lille","France",5,"75","67"
"08/07","Turquie","Zeki Celik","in","Turkey","Other","Lille","France",0.8,"102","67"
"31/01","Mozambique","Reinildo","in","Portugal","Other","Lille","France",3,"101","67"
"01/07","France","Martin Terrier","in","Lille","France","Lyon","France",11,"67","68"
"02/07","France","Tanguy Ndombele","in","Amiens","France","Lyon","France",10,"61","68"
"21/08","Belgique","Jason Denayer","in","Manchester City","England","Lyon","France",6.5,"13","68"
"20/07","Croatie","Duje Caleta-Car","in","Austria","Other","Marseille","France",19,"110","69"
"28/08","Pays-Bas","Kevin Strootman","in","AS Roma","Italy","Marseille","France",25,"42","69"
"19/06","France","Willem Geubbels","in","Lyon","France","Monaco","France",20,"68","70"
"06/07","Guinée-Bissau","Judilson Pelé","in","Portugal","Other","Monaco","France",10,"101","70"
"10/07","Italie","Antonio Barreca","in","Torino","Italy","Monaco","France",12,"59","70"
"24/07","Côte d'Ivoire","J.-E. Aholou","in","Strasbourg","France","Monaco","France",14,"79","70"
"27/07","Russie","A.  Golovin","in","Russia","Other","Monaco","France",30,"109","70"
"28/08","Allemagne","B.  Henrichs","in","Bayer Leverkusen","Germany","Monaco","France",20,"82","70"
"02/01","Brésil","Naldo","in","Schalke 04","Germany","Monaco","France",2,"95","70"
"10/01","France","Ballo-Touré","in","Lille","France","Monaco","France",11,"67","70"
"01/07","Uruguay","Facundo Píriz","in","Russia","Other","Montpellier","France",1,"109","71"
"24/07","Algérie","Andy Delort","in","Toulouse FC","France","Montpellier","France",5,"80","71"
"16/08","France","Gaëtan Laborde","in","Bordeaux","France","Montpellier","France",5,"63","71"
"12/01","Serbie","Mihailo Ristic","in","Russia","Other","Montpellier","France",1.2,"109","71"
"27/07","Brésil","Lucas Evangelista","in","Portugal","Other","Nantes","France",4,"101","72"
"23/08","Belgique","A.  Limbombe","in","Belgium","Other","Nantes","France",8,"100","72"
"10/06","Brésil","Danilo","in","Portugal","Other","Nice","France",12,"101","73"
"17/07","Algérie","Youcef Atal","in","Belgium","Other","Nice","France",3,"100","73"
"13/08","France","Myziane Maolida","in","Lyon","France","Nice","France",10,"68","73"
"17/07","France","Kylian Mbappé","in","Monaco","France","Paris S-G","France",180,"70","75"
"16/08","Allemagne","Thilo Kehrer","in","Schalke 04","Germany","Paris S-G","France",37,"95","75"
"31/08","Espagne","Juan Bernat","in","Bayern Munich","Germany","Paris S-G","France",5,"83","75"
"29/01","Argentine","Leandro Paredes","in","Russia","Other","Paris S-G","France",47,"109","75"
"22/06","Côte d'Ivoire","Konan","in","Portugal","Other","Reims","France",2,"101","76"
"31/08","Belgique","Thomas Foket","in","Belgium","Other","Reims","France",3.5,"100","76"
"26/01","Kosovo","Arber Zeneli","in","Netherlands","Other","Reims","France",4,"104","76"
"12/06","France","J.  Siebatcheu","in","Reims","France","Rennes","France",12,"76","77"
"21/06","France","Del Castillo","in","Lyon","France","Rennes","France",2,"68","77"
"24/07","France","C.  Grenier","in","Guingamp","France","Rennes","France",4,"66","77"
"30/08","Sénégal","Mbaye Niang","in","Torino","Italy","Rennes","France",15,"59","77"
"15/01","Côte d'Ivoire","S.  Doumbia","in","Switzerland","Other","Rennes","France",3,"106","77"
"16/08","France","Rémy Cabella","in","Marseille","France","Saint-Etienne","France",5,"69","78"
"05/06","Serbie","Stefan Mitrovic","in","Belgium","Other","Strasbourg","France",3,"100","79"
"26/07","Belgique","Matz Sels","in","Newcastle United","England","Strasbourg","France",4,"15","79"
"17/08","France","Lionel Carole","in","Turkey","Other","Strasbourg","France",0.75,"102","79"
"30/08","Afrique du Sud","Lebo Mothiba","in","Lille","France","Strasbourg","France",4,"67","79"
"28/06","France","Baptiste Reynet","in","Dijon","France","Toulouse FC","France",4,"65","80"
"01/07","Côte d'Ivoire","M.-A. Gradel","in","Bournemouth","England","Toulouse FC","France",2,"2","80"
"01/07","Belgique","A.  Leya Iseka","in","Belgium","Other","Toulouse FC","France",1.3,"100","80"
"01/07","RD Congo","Firmin Mubele","in","Rennes","France","Toulouse FC","France",5,"77","80"
"02/07","Trinité et Tobago","John Bostock","in","Turkey","Other","Toulouse FC","France",0.7,"102","80"
"01/07","Finlande","Fredrik Jensen","in","Netherlands","Other","Augsburg","Germany",3,"104","81"
"15/07","Brésil","Paulinho","in","Brazil","Other","Bayer Leverkusen","Germany",26.4,"103","82"
"07/06","Danemark","Thomas Delaney","in","Werder Bremen","Germany","Dortmund","Germany",20,"97","84"
"26/06","France","Abdou Diallo","in","Mainz","Germany","Dortmund","Germany",28,"92","84"
"01/07","Allemagne","Marius Wolf","in","E Francfort","Germany","Dortmund","Germany",5,"87","84"
"06/08","Belgique","Axel Witsel","in","China","Other","Dortmund","Germany",20,"99","84"
"28/08","Espagne","Paco Alcácer","in","FC Barcelona","Spain","Dortmund","Germany",23,"28","84"
"14/01","Argentine","L.  Balerdi","in","Argentina","Other","Dortmund","Germany",15,"105","84"
"29/06","Suisse","Michael Lang","in","Switzerland","Other","M'gladbach","Germany",2.8,"106","85"
"13/07","France","Alassane Pléa","in","Nice","France","M'gladbach","Germany",25,"73","85"
"01/07","Danemark","F.  Rönnow","in","Denmark","Other","E Francfort","Germany",2.8,"108","87"
"31/01","Mali","Almamy Touré","in","Monaco","France","E Francfort","Germany",0.75,"70","87"
"01/07","Allemagne","Jerôme Gondorf","in","Werder Bremen","Germany","Freiburg","Germany",1.3,"97","88"
"01/07","Japon","Genki Haraguchi","in","Düsseldorf","Germany","Hannover 96","Germany",4.5,"86","89"
"01/07","Autriche","V.  Lazaro","in","Austria","Other","Hertha Berlin","Germany",7,"110","90"
"01/07","Italie","Vincenzo Grifo","in","M'gladbach","Germany","Hoffenheim","Germany",5.5,"85","91"
"25/07","Ghana","Kasim Nuhu","in","Switzerland","Other","Hoffenheim","Germany",8,"106","91"
"28/06","France","J.-P. Mateta","in","Lyon","France","Mainz","Germany",10,"68","92"
"05/08","Espagne","Aarón Martín","in","Espanyol","Spain","Mainz","Germany",10,"27","92"
"27/08","Pays-Bas","J.-P. Boëtius","in","Netherlands","Other","Mainz","Germany",3.5,"104","92"
"12/06","Uruguay","M.  Saracchi","in","Argentina","Other","RB Leipzig","Germany",13.5,"105","94"
"24/06","Brésil","Matheus Cunha","in","Switzerland","Other","RB Leipzig","Germany",15,"106","94"
"01/07","France","Nordi Mukiele","in","Montpellier","France","RB Leipzig","Germany",16,"71","94"
"01/01","Mali","Amadou Haidara","in","Austria","Other","RB Leipzig","Germany",18,"110","94"
"01/07","Sénégal","Salif Sané","in","Hannover 96","Germany","Schalke 04","Germany",8,"89","95"
"01/07","Allemagne","Suat Serdar","in","Mainz","Germany","Schalke 04","Germany",11,"92","95"
"02/07","Espagne","Omar Mascarell","in","Real Madrid","Spain","Schalke 04","Germany",10,"37","95"
"17/08","Maroc","Hamza Mendyl","in","Lille","France","Schalke 04","Germany",6,"67","95"
"28/08","Allemagne","Sebastian Rudy","in","Bayern Munich","Germany","Schalke 04","Germany",16,"83","95"
"29/06","Allemagne","Gonzalo Castro","in","Dortmund","Germany","Stuttgart","Germany",5,"84","96"
"01/07","Espagne","Pablo Maffeo","in","Manchester City","England","Stuttgart","Germany",10,"13","96"
"01/07","Croatie","Borna Sosa","in","Croatia","Other","Stuttgart","Germany",8,"107","96"
"10/07","Argentine","N.  González","in","Argentina","Other","Stuttgart","Germany",8.5,"105","96"
