"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount","ClubFromID","ClubToID"
"19/06","Allemagne","Bernd Leno","in","Bayer Leverkusen","Germany","Arsenal","England",25,"82","1"
"02/07","Grèce","Papastathopoulos","in","Dortmund","Germany","Arsenal","England",16,"84","1"
"10/07","Uruguay","Lucas Torreira","in","Sampdoria","Italy","Arsenal","England",30,"56","1"
"24/07","Espagne","Diego Rico","in","Leganés","Spain","Bournemouth","England",15,"34","2"
"07/08","Colombie","Jefferson Lerma","in","Levante","Spain","Bournemouth","England",30,"35","2"
"04/01","Angleterre","Dominic Solanke","in","Liverpool","England","Bournemouth","England",21.1,"12","2"
"05/07","Brésil","Bernardo","in","RB Leipzig","Germany","Brighton & Hove","England",10.2,"94","3"
"17/07","Mali","Yves Bissouma","in","Lille","France","Brighton & Hove","England",16.9,"67","3"
"25/07","Iran","A.  Jahanbakhsh","in","Netherlands","Other","Brighton & Hove","England",19.1,"104","3"
"09/08","Espagne","Martín Montoya","in","Valencia CF","Spain","Brighton & Hove","England",7,"30","3"
"22/01","Argentine","Mac Allister","in","Argentina","Other","Brighton & Hove","England",9,"105","3"
"07/08","Angleterre","Joe Hart","in","Manchester City","England","Burnley","England",3.9,"13","4"
"19/01","Argentine","Emiliano Sala","in","Nantes","France","Cardiff City","England",17,"72","5"
"14/07","Italie","Jorginho","in","Napoli","Italy","Chelsea","England",57,"54","6"
"08/08","Espagne","Arrizabalaga","in","Athletic Bilbao","Spain","Chelsea","England",80,"22","6"
"01/08","Sénégal","C.  Kouyaté","in","West Ham","England","Crystal Palace","England",10.7,"19","7"
"24/07","Brésil","Richarlison","in","Watford","England","Everton","England",45,"18","8"
"01/08","France","Lucas Digne","in","FC Barcelona","Spain","Everton","England",20.2,"28","8"
"09/08","Portugal","André Gomes","in","FC Barcelona","Spain","Everton","England",25,"28","8"
"09/08","Colombie","Yerry Mina","in","FC Barcelona","Spain","Everton","England",30.3,"28","8"
"12/07","Côte d'Ivoire","J.-M. Seri","in","Nice","France","Fulham","England",30,"73","9"
"24/07","Espagne","Fabricio","in","Turkey","Other","Fulham","England",6,"102","9"
"30/07","Serbie","A.  Mitrovic","in","Newcastle United","England","Fulham","England",20.2,"15","9"
"02/08","Angleterre","Alfie Mawson","in","Wales","Other","Fulham","England",22.5,"112","9"
"09/08","Cameroun","Zambo Anguissa","in","Marseille","France","Fulham","England",33,"69","9"
"15/01","Pays-Bas","Ryan Babel","in","Turkey","Other","Fulham","England",2,"102","9"
"20/06","Pays-Bas","Juninho Bacuna","in","Netherlands","Other","Huddersfield","England",2.5,"104","10"
"20/07","France","Adama Diakhaby","in","Monaco","France","Huddersfield","England",10,"70","10"
"01/07","Portugal","Ricardo Pereira","in","Portugal","Other","Leicester","England",22,"101","11"
"20/07","Pays de Galles","Daniel Ward","in","Liverpool","England","Leicester","England",11.2,"12","11"
