"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount"
"01/07","Angleterre","Mike Salmon","in","Gillingham",NA,"Arsenal","England","goalkeeping coach"
"01/07","Danemark","Sebastian Svard","in","Stoke City",NA,"Arsenal","England","Return from loan"
"01/07","Pays-Bas","R.  van Persie","in","Feyenoord","Netherlands","Arsenal","England","4.2 M€"
"14/07","Espagne","Manuel Almunia","in","Celta Vigo","Spain","Arsenal","England","5 M€"
"14/07","Suisse","Johan Djourou","in","Etoile Carouge","Switzerland","Arsenal","England","Free"
"22/07","France","Mathieu Flamini","in","Marseille","France","Arsenal","England","2.3 M€"
"01/01","Côte d'Ivoire","Emmanuel Eboué","in","Beveren","Belgium","Arsenal","England","2.2 M€"
"23/01","Angleterre","Stuart Taylor","in","Leicester",NA,"Arsenal","England","Return from loan"
"03/06","Angleterre","David Bentley","out","Arsenal","England","Norwich",NA,"Loan"
"12/06","Nigeria","Nwankwo Kanu","out","Arsenal","England",NA,NA,"Free"
"29/06","Grèce","S.  Tavlaridis","out","Arsenal","England","Lille","France","Free"
"20/07","Angleterre","Martin Keown","out","Arsenal","England","Leicester",NA,"Free"
"23/07","Angleterre","Ray Parlour","out","Arsenal","England","Middlesbrough",NA,"Free"
"11/08","Angleterre","Francis Jeffers","out","Arsenal","England","Charlton",NA,"3.9 M€"
"31/08","Danemark","Sebastian Svard","out","Arsenal","England","Bröndby","Denmark","Loan"
"31/08","France","Sylvain Wiltord","out","Arsenal","England","Lyon","France","Free"
"18/11","Angleterre","Stuart Taylor","out","Arsenal","England","Leicester",NA,"Loan"
"18/02","Suède","Rami Shaaban","out","Arsenal","England","Brighton",NA,""
"22/05","Danemark","Martin Laursen","in","AC Milan","Italy","Aston Villa","England","4.2 M€"
"12/07","Angleterre","Carlton Cole","in","Charlton",NA,"Aston Villa","England","Loan"
"02/08","République tchèque","Vaclav Drobny","in","Strasbourg","France","Aston Villa","England","Loan"
"05/08","France","Mathieu Berson","in","Nantes","France","Aston Villa","England","2.3 M€"
"31/01","Cameroun","Djemba-Djemba","in","Man United",NA,"Aston Villa","England","2 M€"
"16/03","Angleterre","P.  Whittingham","in","Burnley",NA,"Aston Villa","England","Return from loan"
"09/05","Angleterre","Gary Cahill","in","Burnley",NA,"Aston Villa","England","Return from loan"
"01/07","Angleterre","Dion Dublin","out","Aston Villa","England","Leicester",NA,"Free"
"01/07","Maroc","Hassan Kachloul","out","Aston Villa","England","Livingston","Scotland",""
"09/07","Angleterre","Peter Crouch","out","Aston Villa","England","Southampton",NA,"3 M€"
"30/07","Angleterre","Stefan Moore","out","Aston Villa","England","Millwall",NA,"Loan"
"27/08","Suède","Marcus Allbäck","out","Aston Villa","England","Hansa","Germany",""
"19/09","Norvège","Ronny Johnsen","out","Aston Villa","England","Newcastle",NA,"Free"
"14/02","Angleterre","P.  Whittingham","out","Aston Villa","England","Burnley",NA,"Loan"
"01/06","Belgique","Nico Vaesen","in","Crystal Palace",NA,"Birmingham City","England","Return from loan"
"15/06","Turquie","Muzzy Izzet","in","Leicester",NA,"Birmingham City","England","Free"
"24/06","Angleterre","Julian Gray","in","Crystal Palace",NA,"Birmingham City","England","Free"
"01/07","Ecosse","Eric Black","in","Coventry",NA,"Birmingham City","England","assistant manager"
"01/07","Angleterre","Emile Heskey","in","Liverpool",NA,"Birmingham City","England","Free"
"07/07","Finlande","Mikael Forssell","in","Chelsea",NA,"Birmingham City","England","Loan"
"09/07","Pays-Bas","Mario Melchiot","in","Chelsea",NA,"Birmingham City","England","Free"
"12/07","Danemark","J.  Grönkjaer","in","Chelsea",NA,"Birmingham City","England","3.3 M€"
"10/08","Angleterre","Darren Anderton","in",NA,NA,"Birmingham City","England","Free"
"31/08","Trinité et Tobago","Dwight Yorke","in","Blackburn",NA,"Birmingham City","England","375 k€"
"05/12","Angleterre","Darren Carter","in","Sunderland",NA,"Birmingham City","England","Return from loan"
"05/01","Angleterre","Robbie Blake","in","Burnley",NA,"Birmingham City","England","1.9 M€"
"09/01","Angleterre","Ian Bennett","in","Sheffield U",NA,"Birmingham City","England","Return from loan"
"18/01","Sénégal","Salif Diao","in","Liverpool",NA,"Birmingham City","England","Loan"
"25/01","Angleterre","J.  Pennant","in","Arsenal B",NA,"Birmingham City","England","Loan"
"31/01","Tunisie","Mehdi Nafti","in","Racing","Spain","Birmingham City","England","Loan"
"31/01","Uruguay","Walter Pandiani","in","Depor","Spain","Birmingham City","England","Loan"
"09/05","Angleterre","Ian Bennett","in","Coventry",NA,"Birmingham City","England","Return from loan"
"10/05","Australie","Neil Kilkenny","in","Oldham",NA,"Birmingham City","England","Return from loan"
"26/05","Chypre","Tom Williams","out","Birmingham City","England","Barnsley",NA,"Free"
"01/06","Finlande","Mikael Forssell","out","Birmingham City","England","Chelsea",NA,"Return from loan"
"17/06","Angleterre","Darren Purse","out","Birmingham City","England","WBA",NA,"1.1 M€"
"01/07","Pays de Galles","Mark Bowen","out","Birmingham City","England",NA,NA,"assistant manager"
"01/07","Angleterre","Bryan Hughes","out","Birmingham City","England","Charlton",NA,"Free"
"06/08","Sénégal","Aliou Cissé","out","Birmingham City","England","Portsmouth",NA,"450 k€"
"13/09","Trinité et Tobago","Stern John","out","Birmingham City","England","Coventry",NA,"295.1 k€"
"16/09","Angleterre","Darren Carter","out","Birmingham City","England","Sunderland",NA,"Loan"
"19/11","Australie","Neil Kilkenny","out","Birmingham City","England","Oldham",NA,"Loan"
"03/12","Angleterre","Martin Grainger","out","Birmingham City","England",NA,NA,"Free"
"09/12","Angleterre","Ian Bennett","out","Birmingham City","England","Sheffield U",NA,"Loan"
"31/12","Danemark","J.  Grönkjaer","out","Birmingham City","England","Atlético","Spain","2 M€"
"06/01","Finlande","Mikael Forssell","out","Birmingham City","England","Chelsea",NA,"Return from loan"
"19/01","Pays de Galles","Robbie Savage","out","Birmingham City","England","Blackburn",NA,"4.5 M€"
"16/02","Angleterre","Ian Bennett","out","Birmingham City","England","Coventry",NA,"Loan"
"07/06","Ecosse","Paul Dickov","in","Leicester",NA,"Blackburn","England","220 k€"
"16/06","Espagne","Javier De Pedro","in","R. Sociedad","Spain","Blackburn","England","Free"
"07/07","Ecosse","Dominic Matteo","in","Leeds",NA,"Blackburn","England","Free"
"27/08","Norvège","M. G.  Pedersen","in","Tromsö","Norway","Blackburn","England","3 M€"
"31/08","Angleterre","Jay Bothroyd","in","Perugia","Italy","Blackburn","England","Loan"
"15/09","Pays de Galles","Mark Bowen","in",NA,NA,"Blackburn","England","assistant manager"
"28/09","France","Youri Djorkaeff","in","Bolton",NA,"Blackburn","England","Free"
