"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount"
"13/10","Angleterre","Kevin Hitchcock","in","Watford",NA,"Blackburn","England","goalkeeping coach"
"04/01","Afrique du Sud","Aaron Mokoena","in","RC Genk","Belgium","Blackburn","England",""
"06/01","Nouvelle-Zélande","Ryan Nelsen","in","D.C. United","United States","Blackburn","England","Free"
"19/01","Pays de Galles","Robbie Savage","in","Birmingham",NA,"Blackburn","England","4.5 M€"
"09/05","Angleterre","Michael Gray","in","Leeds",NA,"Blackburn","England","Return from loan"
"09/05","Ecosse","James McEveley","in","Gillingham",NA,"Blackburn","England","Return from loan"
"19/05","Allemagne","Markus Babbel","out","Blackburn","England","Liverpool",NA,"Return from loan"
"01/07","Norvège","Martin Andresen","out","Blackburn","England","Stabaek","Norway","Return from loan"
"01/07","Pays de Galles","Dean Saunders","out","Blackburn","England","Newcastle",NA,"assistant manager"
"18/07","Angleterre","Andy Cole","out","Blackburn","England","Fulham",NA,"Free"
"31/08","Trinité et Tobago","Dwight Yorke","out","Blackburn","England","Birmingham",NA,"375 k€"
"06/09","Ecosse","Graeme Souness","out","Blackburn","England","Newcastle",NA,"manager"
"04/11","Angleterre","Rob Kelly","out","Blackburn","England","Leicester",NA,"forward coach"
"11/11","Angleterre","Tony Parkes","out","Blackburn","England",NA,NA,"Free"
"01/01","Espagne","Javier De Pedro","out","Blackburn","England","Perugia","Italy",""
"05/01","France","Youri Djorkaeff","out","Blackburn","England",NA,NA,"Free"
"31/01","Ecosse","Barry Ferguson","out","Blackburn","England","Rangers","Scotland","6.8 M€"
"03/02","Angleterre","Michael Gray","out","Blackburn","England","Leeds",NA,"Loan"
"10/03","Irlande","J.  Douglas","out","Blackburn","England","Gillingham",NA,"Loan"
"10/03","Ecosse","James McEveley","out","Blackburn","England","Gillingham",NA,"Loan"
"10/06","Angleterre","Michael Bridges","in","Leeds",NA,"Bolton Wanderers","England","Free"
"05/07","Angleterre","Les Ferdinand","in","Leicester",NA,"Bolton Wanderers","England","Free"
"06/07","Tunisie","Radhi Jaïdi","in","ES Tunis","Tunisia","Bolton Wanderers","England",""
"21/07","Pays de Galles","Gary Speed","in","Newcastle",NA,"Bolton Wanderers","England","1.1 M€"
"28/07","Israël","Tal Ben Haïm","in","Mac. Tel-Aviv","Israel","Bolton Wanderers","England","225 k€"
"28/07","Espagne","Fernando Hierro","in","Al Rayyan","Qatar","Bolton Wanderers","England","Free"
"28/07","Brésil","Julio César","in","Valladolid","Spain","Bolton Wanderers","England",""
"15/08","Sénégal","El-Hadji Diouf","in","Liverpool",NA,"Bolton Wanderers","England","4.8 M€"
"24/08","Nigeria","Blessing Kaku","in","H Be'er-Sheva","Israel","Bolton Wanderers","England","Free"
"31/08","Angleterre","Andy Oakes","in","Derby County",NA,"Bolton Wanderers","England","Loan"
"14/09","Sénégal","Khalilou Fadiga","in",NA,NA,"Bolton Wanderers","England","Free"
"01/01","Nigeria","Blessing Kaku","in","Derby County",NA,"Bolton Wanderers","England","Return from loan"
"31/01","France","Vincent Candela","in","AS Roma","Italy","Bolton Wanderers","England",""
"02/02","Angleterre","Mark Harrison","in","Huriyya","Maldives","Bolton Wanderers","England","scout"
"17/05","France","Ibrahim Ba","out","Bolton Wanderers","England",NA,NA,"Free"
"17/05","Angleterre","Steve Howey","out","Bolton Wanderers","England","New England","United States","Free"
"20/06","Danemark","Per Frandsen","out","Bolton Wanderers","England","Wigan",NA,"Free"
"01/07","France","Youri Djorkaeff","out","Bolton Wanderers","England","Blackburn",NA,"Free"
"01/07","Brésil","Emerson Thome","out","Bolton Wanderers","England",NA,NA,"Free"
"01/07","Brésil","Mário Jardel","out","Bolton Wanderers","England",NA,NA,""
"01/07","Espagne","Javi Moreno","out","Bolton Wanderers","England","Atlético","Spain","Return from loan"
"01/07","Guatemala","D.  Pezzarossi","out","Bolton Wanderers","England","Comunicaciones","Guatemala",""
"01/07","Jamaïque","D.  Ricketts","out","Bolton Wanderers","England","Bradford",NA,"Loan"
"13/07","Angleterre","Simon Charlton","out","Bolton Wanderers","England","Norwich",NA,"375 k€"
"23/09","Angleterre","Michael Bridges","out","Bolton Wanderers","England","Sunderland",NA,"Free"
"29/10","France","Florent Laville","out","Bolton Wanderers","England","Coventry",NA,"Loan"
"25/11","Nigeria","Blessing Kaku","out","Bolton Wanderers","England","Derby County",NA,"Loan"
"02/01","Angleterre","Les Ferdinand","out","Bolton Wanderers","England",NA,NA,""
"17/03","Angleterre","Andy Oakes","out","Bolton Wanderers","England","Derby County",NA,"Return from loan"
"31/05","Danemark","S.  Andersen","in","AB","Denmark","Charlton","England","1 M€"
"01/07","Angleterre","Bryan Hughes","in","Birmingham",NA,"Charlton","England","Free"
"02/07","Danemark","D.  Rommedahl","in","PSV","Netherlands","Charlton","England","3.5 M€"
"10/07","Maroc","T.  El-Karkouri","in","Paris S-G","France","Charlton","England","Free"
"10/08","Angleterre","Danny Murphy","in","Liverpool",NA,"Charlton","England","3.3 M€"
"11/08","Angleterre","Francis Jeffers","in","Arsenal",NA,"Charlton","England","3.9 M€"
"29/11","Angleterre","Simon Royce","in","Luton Town",NA,"Charlton","England","Return from loan"
"16/12","Angleterre","Chris Powell","in","West Ham",NA,"Charlton","England","Return from loan"
"09/05","Angleterre","Simon Royce","in","QPR",NA,"Charlton","England","Return from loan"
"07/06","Angleterre","Stephen Hughes","out","Charlton","England",NA,NA,"Free"
"01/07","Angleterre","Gary Rowett","out","Charlton","England",NA,NA,"Free"
"11/07","Angleterre","Carlton Cole","out","Charlton","England","Aston Villa",NA,"Loan"
"23/07","Danemark","Claus Jensen","out","Charlton","England","Fulham",NA,"1.9 M€"
"10/08","Italie","Paolo Di Canio","out","Charlton","England","Lazio","Italy","Free"
"10/09","Angleterre","Chris Powell","out","Charlton","England","West Ham",NA,"Loan"
"29/10","Angleterre","Simon Royce","out","Charlton","England","Luton Town",NA,"Loan"
"17/12","Angleterre","Chris Powell","out","Charlton","England","West Ham",NA,"Free"
"13/01","Angleterre","Simon Royce","out","Charlton","England","QPR",NA,"Loan"
"31/01","Angleterre","Graham Stuart","out","Charlton","England","Norwich",NA,"Free"
"01/06","Portugal","Silvino Louro","in","FC Porto","Portugal","Chelsea","England","goalkeeping coach"
"02/06","Portugal","José Mourinho","in","FC Porto","Portugal","Chelsea","England","manager"
"07/06","Portugal","Paulo Ferreira","in","FC Porto","Portugal","Chelsea","England","20 M€"
"01/07","Brésil","Baltemar Brito","in","FC Porto","Portugal","Chelsea","England","assistant manager"
"01/07","République tchèque","Petr Cech","in","Rennes","France","Chelsea","England","13 M€"
"01/07","Portugal","Rui Faria","in","FC Porto","Portugal","Chelsea","England","assistant manager"
"01/07","Russie","Aleksey Smertin","in","Portsmouth",NA,"Chelsea","England","Return from loan"
"01/07","Portugal","Villas-Boãs","in","FC Porto","Portugal","Chelsea","England","scout"
"03/07","Côte d'Ivoire","Didier Drogba","in","Marseille","France","Chelsea","England","37 M€"
"12/07","Serbie","Mateja Kezman","in","PSV","Netherlands","Chelsea","England","7.5 M€"
"21/07","Portugal","Tiago","in","Benfica","Portugal","Chelsea","England","15 M€"
"27/07","Portugal","R.  Carvalho","in","FC Porto","Portugal","Chelsea","England","30 M€"
"03/08","Pays-Bas","Arjen Robben","in","PSV","Netherlands","Chelsea","England","18.5 M€"
"10/09","Irlande du Nord","Brendan Rodgers","in","Reading",NA,"Chelsea","England","membre du staff"
"06/01","Finlande","Mikael Forssell","in","Birmingham",NA,"Chelsea","England","Return from loan"
"06/01","République tchèque","Jiri Jarosik","in","CSKA Moscow","Russia","Chelsea","England","12 M€"
"03/06","Argentine","J. S.  Verón","out","Chelsea","England","Inter Milan","Italy",""
"01/07","Brésil","Alex","out","Chelsea","England","PSV","Netherlands","Loan"
"01/07","Pays-Bas","Winston Bogarde","out","Chelsea","England",NA,NA,""
"01/07","France","Emmanuel Petit","out","Chelsea","England",NA,NA,"Free"
"01/07","Italie","Claudio Ranieri","out","Chelsea","England","Valencia CF","Spain","manager"
"01/07","Croatie","Mario Stanic","out","Chelsea","England",NA,NA,"Free"
"06/07","France","Marcel Desailly","out","Chelsea","England",NA,NA,""
"07/07","Finlande","Mikael Forssell","out","Chelsea","England","Birmingham",NA,"Loan"
"09/07","Pays-Bas","Hasselbaink","out","Chelsea","England","Middlesbrough",NA,"Free"
"09/07","Pays-Bas","Mario Melchiot","out","Chelsea","England","Birmingham",NA,"Free"
"12/07","Danemark","J.  Grönkjaer","out","Chelsea","England","Birmingham",NA,"3.3 M€"
"15/07","Argentine","Hernán Crespo","out","Chelsea","England","AC Milan","Italy","Loan"
"31/07","Ecosse","Neil Sullivan","out","Chelsea","England","Leeds",NA,"Free"
"01/08","Brésil","Alcides","out","Chelsea","England","Benfica","Portugal","Loan"
"11/08","Italie","Marco Ambrosio","out","Chelsea","England","Grasshops","Switzerland","Loan"
"20/08","Autriche","Jürgen Macho","out","Chelsea","England","Rapid","Austria","Free"
"01/10","Roumanie","Adrian Mutu","out","Chelsea","England",NA,NA,"Free"
"01/01","Nigeria","C.  Babayaro","out","Chelsea","England","Newcastle",NA,""
"01/07","Angleterre","David Moss","in",NA,NA,"Crystal Palace","England","Head of Youth Development"
"05/07","Hongrie","Gábor Király","in","Hertha","Germany","Crystal Palace","England","Free"
"11/07","Angleterre","Mark Hudson","in","Fulham B",NA,"Crystal Palace","England","811.4 k€"
"12/07","Barbade","Emmerson Boyce","in",NA,NA,"Crystal Palace","England","Free"
"12/07","Argentine","Julián Speroni","in","Dundee FC","Scotland","Crystal Palace","England","737.7 k€"
"13/07","Finlande","Joonas Kolkka","in","M'gladbach","Germany","Crystal Palace","England","630 k€"
"20/07","Hongrie","S.  Torghelle","in","MTK","Hungary","Crystal Palace","England","1 M€"
"12/08","Angleterre","Fitz Hall","in","Southampton",NA,"Crystal Palace","England","2.3 M€"
"16/08","Equateur","Iván Kaviedes","in","Barcelona G","Ecuador","Crystal Palace","England","Loan"
"31/08","Angleterre","Wayne Andrews","in","Colchester",NA,"Crystal Palace","England","295.1 k€"
"31/08","Uruguay","Gonzalo Sorondo","in","Inter B","Italy","Crystal Palace","England","Loan"
"31/08","Italie","Nicola Ventola","in","Inter Milan","Italy","Crystal Palace","England","Loan"
"30/09","Grèce","Vassilios Lakis","in","Olympiacos","Greece","Crystal Palace","England","Free"
"17/10","Angleterre","Tommy Black","in","Sheffield U",NA,"Crystal Palace","England","Return from loan"
"22/12","Angleterre","Darren Powell","in","West Ham",NA,"Crystal Palace","England","Return from loan"
"17/02","Angleterre","Shaun Derry","in","Nottingham",NA,"Crystal Palace","England","Return from loan"
"23/04","Angleterre","Mark Hudson","out","Crystal Palace","England","Fulham B",NA,"Return from loan"
"27/04","Angleterre","Matt Clarke","out","Crystal Palace","England",NA,NA,"Free"
"30/05","Belgique","Nico Vaesen","out","Crystal Palace","England","Birmingham",NA,"Return from loan"
"24/06","Angleterre","Julian Gray","out","Crystal Palace","England","Birmingham",NA,"Free"
"01/07","Angleterre","Geoff Warner","out","Crystal Palace","England","Reading",NA,"Head of Youth Development"
"02/08","Irlande","Curtis Fleming","out","Crystal Palace","England","Darlington",NA,"Free"
"06/08","Angleterre","Jamie Smith","out","Crystal Palace","England","Bristol City",NA,"Free"
"17/09","Angleterre","Tommy Black","out","Crystal Palace","England","Sheffield U",NA,"Loan"
"20/11","Angleterre","Darren Powell","out","Crystal Palace","England","West Ham",NA,"Loan"
"24/12","Angleterre","Shaun Derry","out","Crystal Palace","England","Nottingham",NA,"Loan"
"01/01","France","C.  Berthelin","out","Crystal Palace","England","Mons","Belgium","Free"
"06/01","Equateur","Iván Kaviedes","out","Crystal Palace","England","Barcelona G","Ecuador","Free"
"18/02","Angleterre","Shaun Derry","out","Crystal Palace","England","Leeds",NA,""
"30/04","Angleterre","Leon Osman","in","Derby County",NA,"Everton","England","Return from loan"
"24/06","Angleterre","Marcus Bent","in","Leicester",NA,"Everton","England","640 k€"
"01/07","Angleterre","Gary Peters","in","Exeter City",NA,"Everton","England","scout"
"01/07","Angleterre","Andy Thorn","in","Coventry",NA,"Everton","England","scout"
"01/07","Angleterre","James Vaughan","in","Bradford",NA,"Everton","England",""
"23/07","Australie","Tim Cahill","in","Millwall",NA,"Everton","England","2.2 M€"
"04/08","Australie","Eddy Bosnar","in","Sturm Graz","Austria","Everton","England",""
"04/01","Angleterre","James Beattie","in","Southampton",NA,"Everton","England","9 M€"
"28/01","France","G.  Plessis","in","Lens","France","Everton","England","Free"
"31/01","Espagne","Mikel Arteta","in","R. Sociedad","Spain","Everton","England","Loan"
"01/05","Ecosse","Danny Fox","in","Stranraer","Scotland","Everton","England","Return from loan"
"02/05","Angleterre","Francis Jeffers","out","Everton","England","Arsenal",NA,"Return from loan"
"31/05","Angleterre","Steve Simonsen","out","Everton","England",NA,NA,"Free"
"01/07","Ghana","Alex Nyarko","out","Everton","England","Start","Norway",""
"12/07","Angleterre","David Unsworth","out","Everton","England","Portsmouth",NA,"Free"
"23/07","Canada","T.  Radzinski","out","Everton","England","Fulham",NA,"3 M€"
"29/07","Suède","T.  Linderoth","out","Everton","England","Copenhague","Denmark","Free"
"05/08","Ecosse","Scot Gemmill","out","Everton","England","Leicester",NA,"Free"
"31/08","Angleterre","Wayne Rooney","out","Everton","England","Man United",NA,"37 M€"
"01/11","Angleterre","Gary Peters","out","Everton","England","Shrewsbury",NA,"scout"
"11/01","Angleterre","Kevin Campbell","out","Everton","England","WBA",NA,"Free"
"14/01","Danemark","Thomas Gravesen","out","Everton","England","Real Madrid","Spain","3.8 M€"
"09/05","Angleterre","Liam Rosenior","in","Torquay",NA,"Fulham","England","Return from loan"
"09/07","Ecosse","Billy McKinlay","in","Leicester",NA,"Fulham","England","Free"
"18/07","Angleterre","Andy Cole","in","Blackburn",NA,"Fulham","England","Free"
"23/07","Danemark","Claus Jensen","in","Charlton",NA,"Fulham","England","1.9 M€"
"23/07","Canada","T.  Radzinski","in","Everton",NA,"Fulham","England","3 M€"
"27/07","Sénégal","Papa Bouba Diop","in","Lens","France","Fulham","England","9 M€"
"13/02","Angleterre","Dean Leacock","in","Coventry",NA,"Fulham","England","Return from loan"
"31/05","Angleterre","Dave Beasant","out","Fulham","England",NA,NA,""
"31/05","France","Martin Djetou","out","Fulham","England","Nice","France","Free"
"02/06","Japon","Junichi Inamoto","out","Fulham","England","Gamba Osaka","Japan","Return from loan"
"24/06","Jamaïque","Barry Hayles","out","Fulham","England","Sheffield U",NA,"Free"
"01/07","Lettonie","A.  Stolcers","out","Fulham","England","Yeovil",NA,""
"09/07","Angleterre","Sean Davis","out","Fulham","England","Tottenham",NA,""
"27/08","Argentine","Facundo Sava","out","Fulham","England","Celta Vigo","Spain","Loan"
"16/06","Espagne","Rafa Benítez","in",NA,NA,"Liverpool","England","manager"
"01/07","Espagne","Pako Ayestaran","in","Valencia CF","Spain","Liverpool","England","assistant manager"
"01/07","France","Djibril Cissé","in","Auxerre","France","Liverpool","England","20 M€"
"01/07","Espagne","Paco Herrera","in","Recreativo","Spain","Liverpool","England","assistant manager"
"01/07","Espagne","Ochotorena","in","Spain","Spain","Liverpool","England","goalkeeping coach"
"01/07","Angleterre","Stephen Warnock","in","Coventry",NA,"Liverpool","England","Return from loan"
"24/07","Espagne","Josemi","in","Málaga","Spain","Liverpool","England","3 M€"
"17/08","Espagne","Antonio Núñez","in","Real Madrid","Spain","Liverpool","England","Free"
"20/08","Espagne","Luis García","in","Barça","Spain","Liverpool","England","9 M€"
"20/08","Espagne","Xabi Alonso","in","R. Sociedad","Spain","Liverpool","England","16 M€"
"05/01","Argentine","M.  Pellegrino","in","Valencia CF","Spain","Liverpool","England","Free"
"13/01","Espagne","F.  Morientes","in","Real Madrid","Spain","Liverpool","England","9.5 M€"
"21/01","Angleterre","Scott Carson","in","Leeds B",NA,"Liverpool","England","1.1 M€"
"26/01","France","A.  Le Tallec","in","ASSE","France","Liverpool","England","Return from loan"
"24/05","France","G.  Houllier","out","Liverpool","England",NA,NA,"manager"
"24/05","Angleterre","Phil Thompson","out","Liverpool","England",NA,NA,"assistant manager"
"01/07","Angleterre","Joe Corrigan","out","Liverpool","England",NA,NA,"goalkeeping coach"
"01/07","France","C.  Damiano","out","Liverpool","England","Southampton",NA,"assistant manager"
"01/07","Angleterre","Emile Heskey","out","Liverpool","England","Birmingham",NA,"Free"
"03/07","France","Bruno Cheyrou","out","Liverpool","England","Marseille","France","Loan"
"16/07","Allemagne","Markus Babbel","out","Liverpool","England","Stuttgart","Germany","Free"
"03/08","France","A.  Le Tallec","out","Liverpool","England","ASSE","France","Loan"
"10/08","Angleterre","Danny Murphy","out","Liverpool","England","Charlton",NA,"3.3 M€"
"14/08","Angleterre","Michael Owen","out","Liverpool","England","Real Madrid","Spain","12 M€"
"15/08","Sénégal","El-Hadji Diouf","out","Liverpool","England","Bolton",NA,"4.8 M€"
"18/01","Sénégal","Salif Diao","out","Liverpool","England","Birmingham",NA,"Loan"
"28/01","Suisse","S.  Henchoz","out","Liverpool","England","Celtic","Scotland",""
"21/06","Belgique","G.  De Vlieger","in","Willem II","Netherlands","Manchester City","England","Free"
"21/06","Pays de Galles","Ben Thatcher","in","Leicester",NA,"Manchester City","England","150 k€"
"01/07","Angleterre","Graham Carr","in",NA,NA,"Manchester City","England","responsable recrutement"
"01/07","Angleterre","Tim Flowers","in","Leicester",NA,"Manchester City","England","goalkeeping coach"
"01/07","Angleterre","Nedum Onuoha","in","Salt Lake","United States","Manchester City","England",""
"01/07","Guadeloupe","David Sommeil","in","Marseille","France","Manchester City","England","Return from loan"
"01/07","Angleterre","Wright-Phillips","in","Red Bulls","United States","Manchester City","England",""
"13/07","Angleterre","Danny Mills","in","Leeds",NA,"Manchester City","England","Free"
"25/08","Pays-Bas","R.  Waterreus","in","PSV","Netherlands","Manchester City","England",""
"26/01","Pays-Bas","Kiki Musampa","in","Atlético","Spain","Manchester City","England","Loan"
"10/02","Angleterre","Lee Croft","in","Oldham",NA,"Manchester City","England","Return from loan"
"25/06","Australie","Danny Tiatto","out","Manchester City","England","Leicester",NA,"Free"
"30/06","Belgique","D.  Van Buyten","out","Manchester City","England","Marseille","France","Return from loan"
"01/07","Pays-Bas","Gerard Wiekens","out","Manchester City","England","Veendam","Netherlands","Free"
"06/07","Allemagne","Michael Tarnat","out","Manchester City","England","Hannover 96","Germany","Free"
"16/07","Islande","Arni Arason","out","Manchester City","England","Vaalerenga","Norway",""
"26/08","Costa Rica","Paulo Wanchope","out","Manchester City","England","Málaga","Spain","745 k€"
"30/09","Danemark","Mikkel Bischoff","out","Manchester City","England","Wolves",NA,"Loan"
"27/01","Martinique","C.  Negouai","out","Manchester City","England","Coventry",NA,"Loan"
"31/01","France","Nicolas Anelka","out","Manchester City","England","Fenerbahçe","Turkey","10.7 M€"
"31/01","Pays-Bas","R.  Waterreus","out","Manchester City","England","Rangers","Scotland",""
"10/03","Angleterre","Kevin Keegan","out","Manchester City","England",NA,NA,"manager"
"26/05","Angleterre","Alan Smith","in","Leeds",NA,"Man United","England","9 M€"
"03/06","Portugal","Carlos Queiroz","in","Real Madrid","Spain","Man United","England","assistant manager"
"11/06","Argentine","Gabriel Heinze","in","Paris S-G","France","Man United","England","10 M€"
"01/07","Irlande","Liam Miller","in","Celtic","Scotland","Man United","England","Free"
"01/07","Espagne","Gerard Piqué","in","Barcelona U-19","Spain","Man United","England","5.3 M€"
"31/08","Angleterre","Wayne Rooney","in","Everton",NA,"Man United","England","37 M€"
"01/07","Angleterre","Mick Priest","out","Man United","England","Oldham",NA,"youth coach"
"01/07","Ecosse","Walter Smith","out","Man United","England",NA,NA,"assistant manager"
"27/07","Angleterre","Nicky Butt","out","Man United","England","Newcastle",NA,"3.8 M€"
"20/08","Uruguay","Diego Forlán","out","Man United","England","Villarreal","Spain","3.2 M€"
"29/01","Angleterre","K.  Richardson","out","Man United","England","WBA",NA,"Loan"
"31/01","Cameroun","Djemba-Djemba","out","Man United","England","Aston Villa",NA,"2 M€"
"01/05","Angleterre","Danny Graham","in","Darlington",NA,"Middlesbrough","England","Return from loan"
"01/07","Angleterre","Adam Johnson","in",NA,NA,"Middlesbrough","England",""
"06/07","Pays-Bas","M.  Reiziger","in","Barça","Spain","Middlesbrough","England","Free"
"08/07","Australie","Mark Viduka","in","Leeds",NA,"Middlesbrough","England","6.8 M€"
"09/07","Pays-Bas","Hasselbaink","in","Chelsea",NA,"Middlesbrough","England","Free"
"23/07","Angleterre","Ray Parlour","in","Arsenal",NA,"Middlesbrough","England","Free"
"03/10","Angleterre","Mark Wilson","in","Doncaster",NA,"Middlesbrough","England","Return from loan"
"31/12","Italie","M.  Maccarone","in","Parma","Italy","Middlesbrough","England","Return from loan"
"20/02","Australie","Bradley Jones","in","Blackpool",NA,"Middlesbrough","England","Return from loan"
"22/04","Angleterre","Andrew Davies","in","QPR",NA,"Middlesbrough","England","Return from loan"
"22/04","Brésil","Ricardinho","out","Middlesbrough","England","Santos","Brazil","Free"
"16/05","Angleterre","Danny Mills","out","Middlesbrough","England","Leeds",NA,"Return from loan"
