"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount"
"23/05","Espagne","Unai Emery","in","Paris S-G","France","Arsenal","England","manager"
"31/05","Angleterre","Carl Jenkinson","in","Birmingham",NA,"Arsenal","England","Return from loan"
"01/06","Allemagne","Per Mertesacker","in","Werder","Germany","Arsenal","England","Head of Youth Development"
"05/06","Suisse","Lichtsteiner","in","Juventus","Italy","Arsenal","England","Free"
"19/06","Espagne","J. C.  Carcedo","in","Paris S-G","France","Arsenal","England","assistant manager"
"19/06","Allemagne","Bernd Leno","in","Bayer","Germany","Arsenal","England","25 M€"
"19/06","Espagne","Julen Masach","in",NA,NA,"Arsenal","England","fitness coach"
"01/07","Pologne","Krystian Bielik","in","Walsall",NA,"Arsenal","England","Return from loan"
"01/07","Espagne","Javier Garcia","in","Paris S-G","France","Arsenal","England","goalkeeping coach"
"01/07","Argentine","E.  Martinez","in","Getafe","Spain","Arsenal","England","Return from loan"
"01/07","Espagne","Villa","in","Paris S-G","France","Arsenal","England","Technical help"
"02/07","Grèce","Papastathopoulos","in","Dortmund","Germany","Arsenal","England","16 M€"
"10/07","Uruguay","Lucas Torreira","in","Sampdoria","Italy","Arsenal","England","30 M€"
"11/07","France","M.  Guendouzi","in","Lorient","France","Arsenal","England","8 M€"
"31/01","Espagne","Denis Suárez","in","Barça","Spain","Arsenal","England","Loan"
"21/05","Espagne","Santi Cazorla","out","Arsenal","England",NA,NA,"Free"
"19/06","Angleterre","Neil Banfield","out","Arsenal","England",NA,NA,"assistant manager"
"19/06","Angleterre","Tony Colbert","out","Arsenal","England",NA,NA,"fitness coach"
"19/06","Allemagne","Jens Lehmann","out","Arsenal","England",NA,NA,"goalkeeping coach"
"19/06","Angleterre","Colin Lewin","out","Arsenal","England",NA,NA,"physiotherapist"
"19/06","Irlande","Gerry Peyton","out","Arsenal","England",NA,NA,"goalkeeping coach"
"19/06","Bosnie-Herzégovine","Boro Primorac","out","Arsenal","England",NA,NA,"assistant manager"
"01/07","Allemagne","Per Mertesacker","out","Arsenal","England",NA,NA,""
"01/07","France","Arsène Wenger","out","Arsenal","England",NA,NA,"manager"
"01/07","Angleterre","Jack Wilshere","out","Arsenal","England","West Ham",NA,"Free"
"26/07","France","Reine-Adelaïde","out","Arsenal","England","Angers","France",""
"30/07","Angleterre","Matt Macey","out","Arsenal","England","Plymouth",NA,"Loan"
"03/08","Angleterre","Chuba Akpom","out","Arsenal","England","PAOK FC","Greece","1 M€"
"06/08","Angleterre","Calum Chambers","out","Arsenal","England","Fulham",NA,"Loan"
"09/08","Espagne","Lucas Pérez","out","Arsenal","England","West Ham",NA,"4.5 M€"
"16/08","Pologne","Krystian Bielik","out","Arsenal","England","Charlton",NA,"Loan"
"17/08","Colombie","David Ospina","out","Arsenal","England","Napoli","Italy","3.5 M€"
"18/09","Afrique du Sud","Ivan Gazidis","out","Arsenal","England","AC Milan","Italy","Chief Executive"
"21/01","Allemagne","Sven Mislintat","out","Arsenal","England",NA,NA,"responsable recrutement"
"23/01","Argentine","E.  Martinez","out","Arsenal","England","Reading",NA,"Loan"
"31/01","Angleterre","E.  Smith Rowe","out","Arsenal","England","RB Leipzig","Germany","Loan"
"05/03","France","Gilles Grimandi","out","Arsenal","England","Nice","France","scout"
"31/05","Angleterre","Aaron Ramsdale","in","Chesterfield",NA,"Bournemouth","England","Return from loan"
"01/07","Pays de Galles","David Brooks","in","Sheffield U",NA,"Bournemouth","England","13.5 M€"
"24/07","Espagne","Diego Rico","in","Leganés","Spain","Bournemouth","England","15 M€"
"07/08","Colombie","Jefferson Lerma","in","Levante","Spain","Bournemouth","England","30 M€"
"02/01","Etats-Unis","Emerson Hyndman","in","Hibernian","Scotland","Bournemouth","England","Return from loan"
"04/01","Angleterre","Nathaniel Clyne","in","Liverpool",NA,"Bournemouth","England","Loan"
"04/01","Angleterre","Dominic Solanke","in","Liverpool",NA,"Bournemouth","England","21.1 M€"
"22/01","Pays de Galles","Chris Mepham","in","Brentford",NA,"Bournemouth","England","14 M€"
"25/04","Angleterre","Marc Pugh","in","Hull City",NA,"Bournemouth","England","Return from loan"
"25/05","Pays de Galles","Rhoys Wiggins","out","Bournemouth","England",NA,NA,""
"01/06","RD Congo","Benik Afobe","out","Bournemouth","England","Wolves",NA,"14.5 M€"
"01/07","Côte d'Ivoire","M.-A. Gradel","out","Bournemouth","England","Toulouse FC","France","2 M€"
"03/07","Australie","Adam Federici","out","Bournemouth","England","Stoke City",NA,""
"06/07","Angleterre","Lewis Grabban","out","Bournemouth","England","Nottingham",NA,""
"01/08","Angleterre","Baily Cargill","out","Bournemouth","England","MK Dons",NA,""
"08/08","Etats-Unis","Emerson Hyndman","out","Bournemouth","England","Hibernian","Scotland","Loan"
"08/08","Australie","Bradley Smith","out","Bournemouth","England","Seattle","United States","Loan"
"09/08","Irlande","Harry Arter","out","Bournemouth","England","Cardiff","Wales","Loan"
"04/01","Angleterre","Aaron Ramsdale","out","Bournemouth","England","Wimbledon",NA,"Loan"
"06/01","Angleterre","Jermain Defoe","out","Bournemouth","England","Rangers","Scotland","Loan"
"22/01","Angleterre","Marc Pugh","out","Bournemouth","England","Hull City",NA,"Loan"
"31/01","Angleterre","Tyrone Mings","out","Bournemouth","England","Aston Villa",NA,"Loan"
"21/06","Angleterre","Jason Steele","in","Sunderland",NA,"Brighton & Hove","England",""
"01/07","Roumanie","Florin Andone","in","Depor","Spain","Brighton & Hove","England",""
"01/07","Nigeria","Leon Balogun","in","Mainz","Germany","Brighton & Hove","England","Free"
"01/07","Irlande du Nord","Oliver Norwood","in","Fulham",NA,"Brighton & Hove","England","Return from loan"
"01/07","Irlande","Richard Towell","in","Rotherham",NA,"Brighton & Hove","England","Return from loan"
"05/07","Brésil","Bernardo","in","RB Leipzig","Germany","Brighton & Hove","England","10.2 M€"
"09/07","Ecosse","David Weir","in",NA,NA,"Brighton & Hove","England","responsable recrutement"
"16/07","Angleterre","David Button","in","Fulham",NA,"Brighton & Hove","England",""
"17/07","Mali","Yves Bissouma","in","Lille","France","Brighton & Hove","England","16.9 M€"
"20/07","Afrique du Sud","Percy Tau","in","Sundowns","South Africa","Brighton & Hove","England","3.2 M€"
"25/07","Iran","A.  Jahanbakhsh","in","AZ Alkmaar","Netherlands","Brighton & Hove","England","19.1 M€"
"09/08","Espagne","Martín Montoya","in","Valencia CF","Spain","Brighton & Hove","England","7 M€"
"02/01","Angleterre","Dan Burn","in","Wigan",NA,"Brighton & Hove","England","Return from loan"
"22/01","Argentine","Mac Allister","in","Argentinos","Argentina","Brighton & Hove","England","9 M€"
"31/01","Roumanie","Tudor Baluta","in","Viitorul C","Romania","Brighton & Hove","England","2.9 M€"
"31/01","Slovénie","Jan Mlakar","in","Maribor","Slovenia","Brighton & Hove","England","3 M€"
"09/06","Pays-Bas","Tim Krul","out","Brighton & Hove","England",NA,NA,""
"10/06","Angleterre","Liam Rosenior","out","Brighton & Hove","England",NA,NA,""
"13/06","Angleterre","Connor Goldson","out","Brighton & Hove","England","Rangers","Scotland","3.4 M€"
"30/06","Finlande","Niki Mäenpää","out","Brighton & Hove","England","Bristol City",NA,"Free"
"30/06","Angleterre","Steve Sidwell","out","Brighton & Hove","England",NA,NA,""
"01/07","Angleterre","Isaiah Brown","out","Brighton & Hove","England","Chelsea",NA,"Return from loan"
"01/07","Allemagne","Uwe Hünemeier","out","Brighton & Hove","England","Paderborn","Germany",""
"01/07","Angleterre","Rohan Ince","out","Brighton & Hove","England",NA,NA,""
"01/07","Argentine","Leonardo Ulloa","out","Brighton & Hove","England","Leicester",NA,"Return from loan"
"12/07","République tchèque","Ales Mateju","out","Brighton & Hove","England","Brescia","Italy","Loan"
"24/07","Angleterre","C.  Walton","out","Brighton & Hove","England","Wigan",NA,""
"30/07","Angleterre","Sam Baldock","out","Brighton & Hove","England","Reading",NA,""
"02/08","République tchèque","Jiri Skalak","out","Brighton & Hove","England","Millwall",NA,"800 k€"
"10/08","Angleterre","Dan Burn","out","Brighton & Hove","England","Wigan",NA,"Loan"
"13/08","Irlande du Nord","Oliver Norwood","out","Brighton & Hove","England","Sheffield U",NA,"2.2 M€"
"15/08","Afrique du Sud","Percy Tau","out","Brighton & Hove","England","RUSG","Belgium","Loan"
"23/08","Israël","Tomer Hemed","out","Brighton & Hove","England","QPR",NA,"Loan"
"27/08","Serbie","Bojan Radulovic","out","Brighton & Hove","England","Espanyol B","Spain","Loan"
"31/08","Irlande","Richard Towell","out","Brighton & Hove","England","Rotherham",NA,"Loan"
"01/11","Angleterre","Ian Pearce","out","Brighton & Hove","England","WBA",NA,"scout"
"18/01","Autriche","Markus Suttner","out","Brighton & Hove","England","Düsseldorf","Germany","Loan"
"25/01","Argentine","Mac Allister","out","Brighton & Hove","England","Argentinos","Argentina","Loan"
"25/01","Italie","E.  Schelotto","out","Brighton & Hove","England","Chievo","Italy",""
"01/02","Roumanie","Tudor Baluta","out","Brighton & Hove","England","Viitorul C","Romania","Loan"
"01/02","Slovénie","Jan Mlakar","out","Brighton & Hove","England","Maribor","Slovenia","Loan"
"05/08","Angleterre","Ben Gibson","in","Middlesbrough",NA,"Burnley","England","16.9 M€"
"07/08","Angleterre","Joe Hart","in","Man City",NA,"Burnley","England","3.9 M€"
"07/08","République tchèque","Matej Vydra","in","Derby County",NA,"Burnley","England","12.3 M€"
"22/11","Angleterre","Mike Rigg","in",NA,NA,"Burnley","England","Technical Director"
"01/01","Irlande","J.  Walters","in","Ipswich",NA,"Burnley","England","Return from loan"
"31/01","Angleterre","Peter Crouch","in","Stoke City",NA,"Burnley","England","Trade"
"14/05","Canada","Scott Arfield","out","Burnley","England","Rangers","Scotland","Free"
"14/05","Angleterre","Dean Marney","out","Burnley","England",NA,NA,""
"01/07","France","G.-K. N'Koudou","out","Burnley","England","Tottenham",NA,"Return from loan"
"23/08","Bermudes","Nahki Wells","out","Burnley","England","QPR",NA,"Loan"
"30/08","Irlande","J.  Walters","out","Burnley","England","Ipswich",NA,"Loan"
"05/10","Angleterre","D.  Cadamarteri","out","Burnley","England",NA,NA,"youth coach"
"31/01","Pays de Galles","Sam Vokes","out","Burnley","England","Stoke City",NA,"11 M€"
"22/03","Irlande","J.  Walters","out","Burnley","England",NA,NA,""
"15/05","Angleterre","Lee Tomlin","in","Nottingham","England","Cardiff City","England","Return from loan"
"31/05","Pays de Galles","Rhys Healey","in","Torquay","England","Cardiff City","England","Return from loan"
"31/05","Angleterre","Stuart O'Keefe","in","Portsmouth","England","Cardiff City","England","Return from loan"
"12/06","Angleterre","Josh Murphy","in","Norwich","England","Cardiff City","England","12.5 M€"
"13/06","Irlande","Greg Cunningham","in","Preston NE","England","Cardiff City","England","4.5 M€"
"28/06","Angleterre","Bobby Reid","in","Bristol City","England","Cardiff City","England","11.3 M€"
"28/06","Angleterre","Alex Smithies","in","QPR","England","Cardiff City","England","3.8 M€"
"09/08","Irlande","Harry Arter","in","Bournemouth","England","Cardiff City","England","Loan"
"09/08","Espagne","V.  Camarasa","in","Real Betis","Spain","Cardiff City","England","Loan"
"02/01","Angleterre","Stuart O'Keefe","in","Plymouth","England","Cardiff City","England","Return from loan"
"06/01","Pays de Galles","Rhys Healey","in","MK Dons","England","Cardiff City","England","Return from loan"
"18/01","Sénégal","Oumar Niasse","in","Everton","England","Cardiff City","England","Loan"
"19/01","Argentine","Emiliano Sala","in","Nantes","France","Cardiff City","England","17 M€"
"31/01","Curaçao","Leandro Bacuna","in","Reading","England","Cardiff City","England",""
"14/05","Angleterre","Liam Feeney","out","Cardiff City","England",NA,NA,""
"31/05","Pays-Bas","Yanic Wildschut","out","Cardiff City","England","Bolton","England","Loan"
"01/07","Ecosse","Craig Bryson","out","Cardiff City","England","Derby County","England","Return from loan"
"01/07","Bénin","F.  Gounongbé","out","Cardiff City","England",NA,NA,""
"01/07","Serbie","Marko Grujic","out","Cardiff City","England","Liverpool","England","Return from loan"
"01/07","Angleterre","Greg Halford","out","Cardiff City","England",NA,NA,""
"01/07","Ecosse","Matthew Kennedy","out","Cardiff City","England",NA,NA,""
"01/07","Etats-Unis","Chris Konopka","out","Cardiff City","England",NA,NA,"Free"
"01/07","Sénégal","Armand Traoré","out","Cardiff City","England","Rizespor","Turkey","Free"
"07/08","Angleterre","Omar Bogle","out","Cardiff City","England","Birmingham","England","Loan"
"08/08","Irlande du Nord","Lee Camp","out","Cardiff City","England","Birmingham","England","Free"
"24/08","Pays de Galles","Rhys Healey","out","Cardiff City","England","MK Dons","England","Loan"
"24/08","Angleterre","Stuart O'Keefe","out","Cardiff City","England","Plymouth","England","Loan"
"31/08","Irlande du Nord","Jamie Ward","out","Cardiff City","England","Charlton","England","Loan"
"07/01","Angleterre","Gary Madine","out","Cardiff City","England","Sheffield U","England","Loan"
"08/01","Angleterre","Lee Tomlin","out","Cardiff City","England","Peterborough","England","Loan"
"10/01","Irlande","A.  Pilkington","out","Cardiff City","England","Wigan","England","Free"
"17/05","Belgique","Charles Musonda","in","Celtic","Scotland","Chelsea","England","Return from loan"
"31/05","Angleterre","Tammy Abraham","in","Swansea","Wales","Chelsea","England","Return from loan"
"01/07","Nigeria","Ola Aina","in","Hull City",NA,"Chelsea","England","Return from loan"
"01/07","Angleterre","Isaiah Brown","in","Brighton",NA,"Chelsea","England","Return from loan"
"01/07","Jamaïque","Michael Hector","in","Hull City",NA,"Chelsea","England","Return from loan"
"01/07","République tchèque","Tomas Kalas","in","Fulham",NA,"Chelsea","England","Return from loan"
"01/07","Angleterre","Loftus-Cheek","in","Crystal Palace",NA,"Chelsea","England","Return from loan"
"13/07","Italie","Maurizio Sarri","in",NA,NA,"Chelsea","England","manager"
"14/07","Italie","Luca Gotti","in",NA,NA,"Chelsea","England","assistant manager"
"14/07","Italie","Jorginho","in","Napoli","Italy","Chelsea","England","57 M€"
"18/07","Italie","Gianfranco Zola","in",NA,NA,"Chelsea","England","assistant manager"
"26/07","Angleterre","Robert Green","in",NA,NA,"Chelsea","England","Free"
"08/08","Espagne","Arrizabalaga","in","Ath. Bilbao","Spain","Chelsea","England","80 M€"
"09/08","Croatie","Mateo Kovacic","in","Real Madrid","Spain","Chelsea","England","Loan"
"16/11","Angleterre","Jamal Blackman","in","Leeds",NA,"Chelsea","England","Return from loan"
"10/01","Belgique","Michy Batshuayi","in","Valencia CF","Spain","Chelsea","England","Return from loan"
"23/01","Argentine","G.  Higuaín","in","AC Milan","Italy","Chelsea","England","Loan"
"01/07","Angleterre","Chris Jones","out","Chelsea","England","Derby County",NA,"fitness coach"
"01/07","Italie","G.  Spinelli","out","Chelsea","England","Paris S-G","France","goalkeeping coach"
"06/07","Portugal","Eduardo","out","Chelsea","England","Vitesse","Netherlands","Loan"
"12/07","Italie","Antonio Conte","out","Chelsea","England",NA,NA,"manager"
"13/07","Italie","Angelo Alessio","out","Chelsea","England",NA,NA,"assistant manager"
"21/07","Côte d'Ivoire","Jérémie Boga","out","Chelsea","England","Sassuolo","Italy",""
"24/07","Brésil","Nathan","out","Chelsea","England","Atlético MG","Brazil","Loan"
"25/07","Croatie","Mario Pasalic","out","Chelsea","England","Atalanta","Italy","Loan"
"06/08","Etats-Unis","Matt Miazga","out","Chelsea","England","Nantes","France","Loan"
"06/08","Angleterre","Fikayo Tomori","out","Chelsea","England","Derby County",NA,"Loan"
"08/08","Belgique","T.  Courtois","out","Chelsea","England","Real Madrid","Spain","35 M€"
"09/08","France","Kurt Zouma","out","Chelsea","England","Everton",NA,"Loan"
"10/08","Belgique","Michy Batshuayi","out","Chelsea","England","Valencia CF","Spain","Loan"
"13/08","Nigeria","Ola Aina","out","Chelsea","England","Torino","Italy",""
"14/08","France","T.  Bakayoko","out","Chelsea","England","AC Milan","Italy","Loan"
"23/08","République tchèque","Tomas Kalas","out","Chelsea","England","Bristol City",NA,"9 M€"
"30/08","Angleterre","Isaiah Brown","out","Chelsea","England","Leeds",NA,"Loan"
"31/08","Angleterre","Tammy Abraham","out","Chelsea","England","Aston Villa",NA,"Loan"
"31/08","Jamaïque","Michael Hector","out","Chelsea","England","S Wednesday",NA,"Loan"
"31/08","Belgique","Charles Musonda","out","Chelsea","England","Vitesse","Netherlands","Loan"
"11/01","Espagne","Cesc Fàbregas","out","Chelsea","England","Monaco","France","Free"
"25/01","Nigeria","Victor Moses","out","Chelsea","England","Fenerbahçe","Turkey","Loan"
"28/01","Espagne","Álvaro Morata","out","Chelsea","England","Atlético","Spain","Loan"
"31/01","Belgique","Michy Batshuayi","out","Chelsea","England","Crystal Palace",NA,"Loan"
"31/05","Angleterre","Sullay Kaikai","in","Charlton",NA,"Crystal Palace","England","Return from loan"
"08/06","Espagne","Vicente Guaita","in","Getafe","Spain","Crystal Palace","England","Free"
"01/07","Pays de Galles","J.  Williams","in","Sunderland",NA,"Crystal Palace","England","Return from loan"
"01/08","Sénégal","C.  Kouyaté","in","West Ham",NA,"Crystal Palace","England","10.7 M€"
"02/08","Allemagne","Max Meyer","in","Schalke 04","Germany","Crystal Palace","England","Free"
"09/08","Ghana","Jordan Ayew","in","Swansea","Wales","Crystal Palace","England","Loan"
"01/01","Angleterre","Jordon Mutch","in","Vancouver","Canada","Crystal Palace","England","Return from loan"
"24/01","Brésil","Lucas Perri","in","São Paulo B","Brazil","Crystal Palace","England","Loan"
"27/01","Mali","Bakary Sako","in","WBA",NA,"Crystal Palace","England","Free"
"31/01","Belgique","Michy Batshuayi","in","Chelsea",NA,"Crystal Palace","England","Loan"
"31/01","Pologne","Jaroslaw Jach","in","Rizespor","Turkey","Crystal Palace","England","Return from loan"
"31/05","Pays-Bas","T.  Fosu-Mensah","out","Crystal Palace","England","Man United",NA,"Return from loan"
"01/06","Angleterre","C.  Pintilie","out","Crystal Palace","England","Hillingdon",NA,"scout"
"08/06","Irlande","Damien Delaney","out","Crystal Palace","England","Cork City","Republic of Ireland",""
"08/06","Brésil","Diego Cavalieri","out","Crystal Palace","England",NA,NA,""
"08/06","Corée du Sud","Chung-yong Lee","out","Crystal Palace","England",NA,NA,""
"30/06","Mali","Bakary Sako","out","Crystal Palace","England",NA,NA,"Free"
"30/06","Brésil","A.  Schoenmaker","out","Crystal Palace","England",NA,NA,"masseur"
"01/07","France","Yohan Cabaye","out","Crystal Palace","England",NA,NA,""
"01/07","Angleterre","Loftus-Cheek","out","Crystal Palace","England","Chelsea",NA,"Return from loan"
"01/07","Suède","Erdal Rakip","out","Crystal Palace","England","Benfica B","Portugal","Return from loan"
"24/07","Pologne","Jaroslaw Jach","out","Crystal Palace","England","Rizespor","Turkey","Loan"
"05/09","Irlande","Steven Reid","out","Crystal Palace","England",NA,NA,"membre du staff"
"04/01","Angleterre","Jordon Mutch","out","Crystal Palace","England",NA,NA,"Free"
"04/01","Angleterre","Jason Puncheon","out","Crystal Palace","England","Huddersfield",NA,"Loan"
"04/01","Pays de Galles","J.  Williams","out","Crystal Palace","England","Charlton",NA,""
"08/01","Norvège","A.  Sörloth","out","Crystal Palace","England","La Gantoise","Belgium","Loan"
"21/01","Angleterre","Sullay Kaikai","out","Crystal Palace","England","NAC Breda","Netherlands",""
"02/02","Pologne","Jaroslaw Jach","out","Crystal Palace","England","Sheriff","Moldova","Loan"
"15/05","Angleterre","Kieran Dowell","in","Nottingham",NA,"Everton","England","Return from loan"
"16/05","Pays-Bas","Marcel Brands","in","PSV","Netherlands","Everton","England","Sporting Director"
"18/05","Angleterre","M.  Pennington","in","Leeds",NA,"Everton","England","Return from loan"
"31/05","Bosnie-Herzégovine","Muhamed Besic","in","Middlesbrough",NA,"Everton","England","Return from loan"
"31/05","Portugal","Marco Silva","in",NA,NA,"Everton","England","manager"
"31/05","Portugal","J. P.  Sousa","in","Watford",NA,"Everton","England","assistant manager"
"01/07","Angleterre","Ademola Lookman","in","RB Leipzig","Germany","Everton","England","Return from loan"
"01/07","Espagne","Sandro","in","Sevilla FC","Spain","Everton","England","Return from loan"
"24/07","Brésil","Richarlison","in","Watford",NA,"Everton","England","45 M€"
"01/08","France","Lucas Digne","in","Barça","Spain","Everton","England","20.2 M€"
"09/08","Brésil","Bernard","in",NA,NA,"Everton","England","Free"
"09/08","Portugal","André Gomes","in","Barça","Spain","Everton","England","25 M€"
"09/08","Colombie","Yerry Mina","in","Barça","Spain","Everton","England","30.3 M€"
"09/08","France","Kurt Zouma","in","Chelsea",NA,"Everton","England","Loan"
"07/12","Islande","G.  Steinsson","in","Fleetwood",NA,"Everton","England","scout"
"21/01","RD Congo","Yannick Bolasie","in","Aston Villa",NA,"Everton","England","Return from loan"
"16/05","Angleterre","Sam Allardyce","out","Everton","England",NA,NA,"manager"
"16/05","Angleterre","Sammy Lee","out","Everton","England",NA,NA,"assistant manager"
"16/05","Pays de Galles","M.  Margetson","out","Everton","England","Swansea","Wales","goalkeeping coach"
"16/05","Angleterre","C.  Shakespeare","out","Everton","England",NA,NA,"assistant manager"
"16/05","Angleterre","Steve Walsh","out","Everton","England",NA,NA,"Sporting Director"
"08/06","Espagne","Joel","out","Everton","England",NA,NA,"Free"
"21/06","Argentine","R.  Funes Mori","out","Everton","England","Villarreal","Spain","9 M€"
"28/06","Angleterre","Wayne Rooney","out","Everton","England","D.C. United","United States",""
"01/07","France","E.  Mangala","out","Everton","England","Man City",NA,"Return from loan"
"09/07","Nigeria","Henry Onyekuru","out","Everton","England","Galatasaray","Turkey","Loan"
"19/07","Suisse","Shani Tarashaj","out","Everton","England","Grasshops","Switzerland","Loan"
"27/07","Pays-Bas","Davy Klaassen","out","Everton","England","Werder","Germany","13.5 M€"
"02/08","Pays de Galles","Ashley Williams","out","Everton","England","Stoke City",NA,"Loan"
"04/08","Belgique","Kevin Mirallas","out","Everton","England","Fiorentina","Italy","Loan"
"12/08","Croatie","Nikola Vlasic","out","Everton","England","CSKA Moscow","Russia","Loan"
"17/08","Curaçao","Cuco Martina","out","Everton","England","Stoke City",NA,"Loan"
"23/08","Bosnie-Herzégovine","Muhamed Besic","out","Everton","England","Middlesbrough",NA,"Loan"
"25/08","RD Congo","Yannick Bolasie","out","Everton","England","Aston Villa",NA,"Loan"
"30/08","Espagne","Sandro","out","Everton","England","R. Sociedad","Spain","Loan"
"31/08","Angleterre","M.  Pennington","out","Everton","England","Ipswich",NA,"Loan"
"28/12","Angleterre","Kieran Dowell","out","Everton","England","Sheffield U",NA,"Loan"
"31/12","Angleterre","Mason Holgate","out","Everton","England","WBA",NA,"Loan"
"18/01","Sénégal","Oumar Niasse","out","Everton","England","Cardiff","Wales","Loan"
"31/01","RD Congo","Beni Baningime","out","Everton","England","Wigan",NA,"Loan"
"31/01","RD Congo","Yannick Bolasie","out","Everton","England","Anderlecht","Belgium","Loan"
"31/05","Angleterre","Cauley Woodrow","in","Bristol City",NA,"Fulham","England","Return from loan"
"12/07","France","M.  Le Marchand","in","Nice","France","Fulham","England",""
"12/07","Côte d'Ivoire","J.-M. Seri","in","Nice","France","Fulham","England","30 M€"
"24/07","Espagne","Fabricio","in","Besiktas","Turkey","Fulham","England","6 M€"
"25/07","Allemagne","A.  Schürrle","in","Dortmund","Germany","Fulham","England","Loan"
"30/07","Serbie","A.  Mitrovic","in","Newcastle",NA,"Fulham","England","20.2 M€"
"02/08","Angleterre","Alfie Mawson","in","Swansea","Wales","Fulham","England","22.5 M€"
"06/08","Angleterre","Calum Chambers","in","Arsenal",NA,"Fulham","England","Loan"
"09/08","Ecosse","Joe Bryan","in","Bristol City",NA,"Fulham","England","5.5 M€"
"09/08","Pays-Bas","T.  Fosu-Mensah","in","Man United",NA,"Fulham","England","Loan"
"09/08","Espagne","Sergio Rico","in","Sevilla FC","Spain","Fulham","England","Loan"
"09/08","Argentine","Luciano Vietto","in","Atlético","Spain","Fulham","England","Loan"
"09/08","Cameroun","Zambo Anguissa","in","Marseille","France","Fulham","England","33 M€"
"14/11","Italie","Paolo Benetti","in",NA,NA,"Fulham","England","assistant manager"
"14/11","Italie","Paolo Orlandoni","in",NA,NA,"Fulham","England","goalkeeping coach"
"14/11","Italie","Claudio Ranieri","in",NA,NA,"Fulham","England","manager"
"15/01","Pays-Bas","Ryan Babel","in","Besiktas","Turkey","Fulham","England","2 M€"
"31/01","Norvège","H.  Nordtveit","in","Hoffenheim","Germany","Fulham","England","Loan"
"01/02","Serbie","Lazar Markovic","in","Liverpool",NA,"Fulham","England",""
"31/05","Angleterre","Matt Targett","out","Fulham","England","Southampton",NA,"Return from loan"
"01/06","Angleterre","Sheyi Ojo","out","Fulham","England","Liverpool B",NA,"Return from loan"
"05/06","Angleterre","Ryan Fredericks","out","Fulham","England","West Ham",NA,"Free"
"01/07","République tchèque","Tomas Kalas","out","Fulham","England","Chelsea",NA,"Return from loan"
"01/07","Serbie","A.  Mitrovic","out","Fulham","England","Newcastle",NA,"Return from loan"
"01/07","Irlande du Nord","Oliver Norwood","out","Fulham","England","Brighton",NA,"Return from loan"
"01/07","Brésil","Lucas Piazon","out","Fulham","England","Chelsea B",NA,"Return from loan"
"06/07","Angleterre","S.  Humphrys","out","Fulham","England","Scunthorpe",NA,"Loan"
"10/07","Angleterre","Stuart Gray","out","Fulham","England",NA,NA,"membre du staff"
"16/07","Angleterre","David Button","out","Fulham","England","Brighton",NA,""
"15/08","Guinée-Bissau","Marcelo Djaló","out","Fulham","England","Extremadura","Spain","Loan"
"24/08","Angleterre","Cauley Woodrow","out","Fulham","England","Barnsley",NA,"Loan"
"31/08","Portugal","Rui Fonte","out","Fulham","England","Lille","France","Loan"
"14/11","Espagne","Javier Pereira","out","Fulham","England",NA,NA,"assistant manager"
"14/11","Serbie","S.  Jokanovic","out","Fulham","England",NA,NA,"manager"
"31/01","Norvège","Stefan Johansen","out","Fulham","England","WBA",NA,"Loan"
"31/01","France","A.  Kamara","out","Fulham","England","Yeni Malatya","Turkey","Loan"
"28/02","Italie","Claudio Ranieri","out","Fulham","England",NA,NA,"manager"
"01/06","Allemagne","Olaf Rebbe","in","Wolfsburg","Germany","Huddersfield","England","Sporting Director"
"02/06","Angleterre","Ben Hamer","in","Leicester",NA,"Huddersfield","England",""
"12/06","Egypte","Ramadan Sobhy","in","Stoke City",NA,"Huddersfield","England","6.5 M€"
"20/06","Pays-Bas","Juninho Bacuna","in","FC Groningen","Netherlands","Huddersfield","England","2.5 M€"
"13/07","Allemagne","Erik Durm","in","Dortmund","Germany","Huddersfield","England",""
"20/07","France","Adama Diakhaby","in","Monaco","France","Huddersfield","England","10 M€"
"09/08","Belgique","Isaac Mbenza","in","Montpellier","France","Huddersfield","England","Loan"
"04/01","Angleterre","Jason Puncheon","in","Crystal Palace",NA,"Huddersfield","England","Loan"
"10/01","Angleterre","Joel Coleman","in","Shrewsbury",NA,"Huddersfield","England","Return from loan"
"21/01","Allemagne","Jan Siewert","in","Dortmund B","Germany","Huddersfield","England","manager"
"24/01","Allemagne","Andreas Winkler","in","Barnsley",NA,"Huddersfield","England","assistant manager"
"30/01","Angleterre","Karlan Grant","in","Charlton",NA,"Huddersfield","England","2.3 M€"
"18/05","Angleterre","Robert Green","out","Huddersfield","England",NA,NA,""
"13/06","Angleterre","Frankie Bunn","out","Huddersfield","England","Oldham",NA,"youth coach"
"30/06","Angleterre","Dean Whitehead","out","Huddersfield","England",NA,NA,""
"17/07","Angleterre","Jack Payne","out","Huddersfield","England","Bradford",NA,"Loan"
"19/07","Irlande","Sean Scannell","out","Huddersfield","England","Bradford",NA,"Loan"
"23/07","Angleterre","Holmes-Dennis","out","Huddersfield","England","Bristol Rovers",NA,""
"24/07","Angleterre","Tom Ince","out","Huddersfield","England","Stoke City",NA,"11.2 M€"
"27/07","Angleterre","Joel Coleman","out","Huddersfield","England","Shrewsbury",NA,"Loan"
"02/08","Angleterre","Hiwula Mayifuila","out","Huddersfield","England","Coventry",NA,""
