"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount"
"15/08","Allemagne","Shawn Parker","out","Augsburg","Germany","Greuther Fürth",NA,""
"31/01","Autriche","M.  Hinteregger","out","Augsburg","Germany","E Francfort",NA,"Loan"
"14/02","Brésil","F.  Caiuby","out","Augsburg","Germany","Grasshops","Switzerland","Loan"
"09/04","Allemagne","Manuel Baum","out","Augsburg","Germany",NA,NA,"manager"
"10/04","Allemagne","Jens Lehmann","out","Augsburg","Germany",NA,NA,"assistant manager"
"30/06","Allemagne","Mitchell Weiser","in","Hertha",NA,"Bayer Leverkusen","Germany","12 M€"
"01/07","Autriche","A.  Dragovic","in","Leicester","England","Bayer Leverkusen","Germany","Return from loan"
"01/07","Finlande","Lucas Hradecky","in","E Francfort",NA,"Bayer Leverkusen","Germany","Free"
"01/07","Allemagne","T.  Kirschbaum","in","FC Nürnberg",NA,"Bayer Leverkusen","Germany",""
"15/07","Brésil","Paulinho","in","Vasco","Brazil","Bayer Leverkusen","Germany","26.4 M€"
"07/08","Suède","Isaac Thelin","in","Anderlecht","Belgium","Bayer Leverkusen","Germany","Loan"
"23/12","Pays-Bas","Peter Bosz","in",NA,NA,"Bayer Leverkusen","Germany","manager"
"23/12","Pays-Bas","Hendrie Krüzen","in","Netherlands U-21","Netherlands","Bayer Leverkusen","Germany","assistant manager"
"19/06","Allemagne","Bernd Leno","out","Bayer Leverkusen","Germany","Arsenal","England","25 M€"
"30/06","Allemagne","Michael Schade","out","Bayer Leverkusen","Germany",NA,NA,"Chief Executive"
"30/06","Ukraine","V.  Yurchenko","out","Bayer Leverkusen","Germany",NA,NA,""
"01/07","Allemagne","S.  Kiessling","out","Bayer Leverkusen","Germany",NA,NA,""
"01/07","Allemagne","Niklas Lomb","out","Bayer Leverkusen","Germany","Sandhausen",NA,""
"28/08","Allemagne","B.  Henrichs","out","Bayer Leverkusen","Germany","Monaco","France","20 M€"
"30/08","Allemagne","Marlon Frey","out","Bayer Leverkusen","Germany","PSV B","Netherlands","Free"
"23/12","Allemagne","Heiko Herrlich","out","Bayer Leverkusen","Germany",NA,NA,"manager"
"23/12","Allemagne","Nico Schneck","out","Bayer Leverkusen","Germany",NA,NA,"assistant manager"
"22/01","Pologne","J.  Bednarczyk","out","Bayer Leverkusen","Germany","St. Pauli B",NA,""
"01/07","Allemagne","Serge Gnabry","in","Hoffenheim",NA,"Bayern Munich","Germany","Return from loan"
"01/07","Allemagne","Leon Goretzka","in","Schalke 04",NA,"Bayern Munich","Germany","Free"
"01/07","Croatie","Robert Kovac","in","E Francfort",NA,"Bayern Munich","Germany","assistant manager"
"01/07","Croatie","Niko Kovac","in","E Francfort",NA,"Bayern Munich","Germany","manager"
"01/07","Portugal","Renato Sanches","in","Swansea","Wales","Bayern Munich","Germany","Return from loan"
"01/01","Canada","Alphonso Davies","in","Vancouver","Canada","Bayern Munich","Germany","18.7 M€"
"01/07","Brésil","Douglas Costa","out","Bayern Munich","Germany","Juventus","Italy","46 M€"
"01/07","Allemagne","Jupp Heynckes","out","Bayern Munich","Germany",NA,NA,"manager"
"01/07","Allemagne","Tom Starke","out","Bayern Munich","Germany",NA,NA,""
"03/08","Chili","Arturo Vidal","out","Bayern Munich","Germany","Barça","Spain","18 M€"
"28/08","Allemagne","Sebastian Rudy","out","Bayern Munich","Germany","Schalke 04",NA,"16 M€"
"31/08","Espagne","Juan Bernat","out","Bayern Munich","Germany","Paris S-G","France","5 M€"
"30/01","Allemagne","Sandro Wagner","out","Bayern Munich","Germany","Tianjin","China","5 M€"
"08/04","Allemagne","Rummenigge","out","Bayern Munich","Germany",NA,NA,"Chief Executive"
"22/05","Suisse","Lucien Favre","in",NA,NA,"Dortmund","Germany","manager"
"07/06","Danemark","Thomas Delaney","in","Werder",NA,"Dortmund","Germany","20 M€"
"26/06","France","Abdou Diallo","in","Mainz",NA,"Dortmund","Germany","28 M€"
"01/07","Danemark","Bruun Larsen","in","Stuttgart",NA,"Dortmund","Germany","Return from loan"
